Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO,AUBANK,AARTIIND,ATGL,ABCAPITAL,ABFRL,AJANTPHARM,APLLTD,AMARAJABAT,APOLLOTYRE,ASHOKLEY,BALKRISIND,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BHARATFORG,BHEL,BBTC,CESC,CANBK,CASTROLIND,CHOLAFIN,CUB,COFORGE,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DALBHARAT,DEEPAKNTR,DHANI,DIXON,LALPATHLAB,EMAMILTD,ENDURANCE,ESCORTS,EXIDEIND,FEDERALBNK,FORTIS,GMRINFRA,GLENMARK,GODREJAGRO,GODREJIND,GODREJPROP,GUJGASLTD,GSPL,HAL,HINDZINC,ISEC,IDFCFIRSTB,IBULHSGFIN,INDIAMART,INDHOTEL,IRCTC,IPCALAB,JSWENERGY,JINDALSTEL,L&TFH,LTTS,LICHSGFIN,LAURUSLABS,MGL,M&MFIN,MANAPPURAM,MFSL,MINDTREE,MPHASIS,NATCOPHARM,NAVINFLUOR,NAM-INDIA,OBEROIRLTY,OIL,PIIND,PAGEIND,PFIZER,POLYCAB,PFC,PRESTIGE,RBLBANK,RECLTD,SRF,SANOFI,SRTRANSFIN,SAIL,SUNTV,SYNGENE,TVSMOTOR,TATACHEM,TATAELXSI,TATAPOWER,RAMCOCEM,TORNTPOWER,TRENT,UNIONBANK,VGUARD,VBL,IDEA,VOLTAS,WHIRLPOOL,ZEEL
08/07/16,201.5713501,978.7094727,540.4620972,2259.03833,811.9853516,2301.806152,279.6364136,315.9407959,1290.96582,509.8834534,218.9136505,1080.768799,3387.852051,1756.491943,681.2854004,333.735321,572.5048218,,2715.66333,123.3396301,854.8963013,1187.890503,213.8217926,210.7853088,83.15583038,1107.859375,505.5230103,133.1618042,741.7267456,920.9804077,695.4751587,3929.88501,103.5318222,5916.422852,119.5257339,134.4668427,472.1992493,,15321.44629,214.3643799,750.5558472,1100.508179,122.4806976,466.1112061,266.0272217,446.218689,391.1853027,353.1878357,3363.366455,206.7516479,,127.921936,,,144.5,1574.22876,576.9650879,806.2923584,134.6562805,80.54891205,316.4581604,153.6380157,108.0999985,524.7116089,100.8588486,355.6614685,83.57229614,401.8676147,472.2271118,219.2019806,154.1924744,185.7793579,96.77340698,463.224823,431.1521301,219.2579498,136.0103455,724.4854126,,87.71364594,29.89814377,,917.317749,500.9541931,,216.3320313,160.9880524,57.88680649,158.8500061,13.44999981,820.1732788,,397.1879578,360.9500122,109.7310562,128.2450409,,119.0163269,,45.7490921,541.2061768,,117.62677,,463.9065552,75.23407745,69.59999847,73.7309494,,467.3363037,,441.8604736,345.0470276,70.7782135,502.8518066,579.149231,488.7294922,556.3603516,379.6147766,,286.0082703,136.3129883,685.585083,12807.49219,1770.490601,,75.01190186,182.1014709,,63.85771942,1271.264771,3757.717529,1138.284912,45.19568253,335.5634766,213.2976379,287.6431885,371.4969482,798.7866211,61.61489487,566.7891235,153.0165253,174.6761322,129.6999969,97.87400818,,61.06587219,297.7011108,824.6919556,441.1618042
11/07/16,211.6961517,994.2999878,538.4345703,2297.591309,847.5698242,2354.808105,284.3024292,320.2120361,1315.910156,511.5493774,225.375,1108.22644,3449.877197,1765.020508,684.781189,331.4004822,584.6386108,,2781.45874,125.4787445,862.9743042,1212.997925,220.8033752,213.614624,84.81575775,1105.646973,512.8775024,136.0289001,758.7871094,937.295166,704.3274536,4033.991211,106.1234741,5985.671875,120.4356689,136.224884,479.0042114,,15593.14746,220.6489868,761.6572876,1117.537842,122.9425354,484.4038086,273.2555237,451.0539856,392.3545532,349.9546204,3417.278564,209.7755585,,128.6647644,,,143.9499969,1586.490845,575.1361084,812.6821289,137.4438171,80.16247559,313.6392212,161.1834106,113.6999969,535.1233521,100.8388138,359.8803101,84.36013794,408.1266174,470.9484253,229.871109,155.0973358,183.3866425,97.14041901,463.9620056,427.0491638,223.8593597,135.8191833,729.6664429,,92.59994507,31.57243729,,959.8648682,507.7241821,,216.4797974,161.0813141,58.31418228,159.8500061,13.69999981,829.836792,,403.4047852,374.8999939,109.4281464,128.0063934,,120.9251785,,46.27881622,562.439209,,119.9179001,,462.2794495,75.60263824,68.84999847,74.97736359,,478.8106079,,442.651886,350.1585083,70.91423035,503.4499817,589.0170898,491.0474243,576.3087158,386.8122559,,296.7730713,137.7114563,706.4389038,12859.46094,1782.072266,,78.45405579,182.0037994,,65.7588501,1277.816406,3753.060547,1203.01123,45.92230225,339.54776,215.8591003,289.2904968,378.9569092,797.5185547,62.24618912,581.4503784,156.9354706,174.577713,135.1999969,98.57497406,,61.84416199,299.5472412,822.7290649,442.4762573
12/07/16,212.2315979,988.1509399,554.8526611,2299.976074,853.4710083,2424.629883,281.1039429,323.2820129,1314.966675,505.3755493,222.6710663,1121.328857,3421.243164,1776.854492,696.0938721,333.5041809,585.8081055,,2784.630615,131.5071716,859.1674194,1231.136108,231.2757416,212.9716034,84.62046814,1106.384521,513.5322266,138.9635925,761.8799438,942.2225952,705.8587036,4126.860352,106.5610428,5930.355957,121.9879608,136.224884,484.2648315,,15697.07813,222.6129303,755.9134521,1117.900635,122.7577744,484.1039124,286.0408936,449.9893188,395.6676636,352.2595215,3449.675293,210.4946747,,127.8500061,,,143.8500061,1552.263306,571.9596558,820.3115845,140.3213043,80.37715912,315.0842285,159.5949097,113.9499969,545.8707886,101.1393967,362.21875,83.81471252,410.4116516,468.1197815,231.7139587,155.905899,185.0875092,97.9968338,464.4687805,419.916687,228.5988464,134.8633881,723.2012939,,92.55202484,32.76836395,,958.9482422,514.4712524,,222.9815674,165.0908813,59.26392746,155.8999939,14.10000038,822.4787598,,400.4937439,376.75,109.4769974,128.4359589,,124.3292847,,50.08321381,585.1664429,,119.5055008,,462.3780518,76.57012177,74.5,75.0253067,,476.0677795,,436.8043823,348.2112427,70.41547394,506.2912292,585.0346069,483.2353821,565.1206055,388.2745056,,292.7733154,138.1272278,707.711853,12764.97852,1787.633423,,76.86834717,179.8062897,,65.19869995,1313.63208,3728.675049,1223.129761,47.9568367,333.5270996,213.3473969,295.3951111,386.1166992,786.0371704,61.19403076,572.0357056,155.154129,174.7597961,137.8500061,98.25415039,,62.44284821,301.3460693,861.3012085,442.5735779
13/07/16,211.5501099,977.5475464,550.7481689,2304.573242,848.3416748,2357.503906,273.7411804,323.6380005,1319.753174,504.2975159,227.587326,1123.255737,3439.556152,1764.162842,694.4359741,332.8800354,583.6640015,,2782.615967,132.0419617,861.1636963,1228.089844,230.7896881,211.8570251,85.02877808,1085.932495,521.0614014,140.374588,773.2036133,932.2475586,700.7387085,4080.591553,106.1234741,6072.404785,125.3333969,132.3409424,486.8468628,,15191.8623,223.5949097,751.5693359,1130.667358,122.0650101,480.9052429,298.9515076,449.4126282,394.449646,359.3661499,3397.593262,211.6563263,,127.9339066,,,141,1558.780396,565.2697754,829.7529907,138.2980652,78.90235138,335.8592529,158.9992065,112.0999985,542.6561279,99.8970108,359.9284668,85.75402832,403.2584839,464.0899353,233.0718384,154.7315369,184.837677,97.34433746,464.1002197,420.0637207,220.5463257,136.5838318,726.5666504,,93.5580368,30.66353416,,934.2498169,509.9428101,,234.1134186,170.1260681,58.02926254,154.1000061,14.80000019,828.9538574,,402.565979,368.3999939,109.2913437,127.8631973,,123.1521759,,48.92744827,561.6134644,,119.2763824,,454.0949097,74.58907318,73.5,72.77215576,,467.7477722,,439.8819885,336.8200073,66.96950531,504.4468994,575.6534424,474.4789124,553.7896729,403.0492859,,305.7602234,140.4139252,710.0125122,12684.31543,1784.048584,,77.62252045,178.9272766,,66.13227844,1299.898071,3751.141357,1209.216187,48.29592133,330.5609741,211.0594635,298.8349609,384.1017151,774.6940918,60.64688873,568.5543213,154.3080139,174.1741638,134.8000031,97.4101944,,63.81982422,307.4998169,846.2355347,444.9590454
14/07/16,211.1606903,985.3910522,554.1109009,2315.869629,858.4256592,2392.888428,277.6545715,326.5299988,1316.140137,501.7006226,228.0087128,1111.309326,3408.733154,1762.406494,714.2779541,336.6942749,584.9309692,,2795.560791,132.0419617,866.2706299,1234.089722,237.3735809,213.2288208,85.49925232,1095.470215,513.4012451,142.0155029,778.894165,940.0893555,692.5084839,4181.533691,106.8302994,6059.301758,123.4064407,134.9575043,484.9887695,,15348.27344,227.8173828,741.9158936,1143.728394,122.4806976,485.9032288,300.2467957,459.7041931,404.2914124,364.3600464,3462.832031,210.420929,,129.2997589,,,141,1548.449341,563.7296753,837.1439819,139.6019135,79.37949371,331.690094,162.5237122,116.9499969,546.878418,102.5140457,351.2738342,87.72362518,405.5435181,462.5787354,247.814621,154.8855743,183.799881,97.83370972,458.2488708,424.5490723,228.5951385,135.2935028,724.9724121,,93.03107452,31.57243729,,941.5822144,510.8804016,,237.315033,167.6551056,59.54885101,156.8999939,14.64999962,832.338562,,411.2005615,367.7999878,109.0079803,128.817749,,124.1065903,,49.89058685,547.8120117,,121.7966385,,462.1315613,73.89800262,73.90000153,73.97064209,,463.3135071,,445.4217224,325.4840088,66.28938293,503.0512085,578.1755981,471.1308289,552.2659912,417.6151733,,292.1313782,139.2799988,715.69104,12945.88184,1783.543213,,81.18070221,178.6830902,,68.78029633,1333.723877,3719.93335,1197.13562,48.24747849,345.6569214,209.1943359,295.0559998,393.533844,773.9102783,60.43646622,558.5512085,152.8829193,173.7656555,140.8500061,97.0928421,,64.41851044,308.493927,846.7262573,454.0139771
15/07/16,214.6654358,993.4284058,558.8582764,2342.373291,861.3860474,2425.728027,278.3319702,337.1636963,1298.122437,506.061554,223.9352417,1110.297607,3413.299805,1786.241455,723.4075928,331.7242126,596.3093872,,2781.073242,133.5976715,874.2094727,1272.475586,234.8549042,213.3574371,84.92227936,1107.957764,468.1389771,147.5062408,770.857605,952.9486694,700.906189,4222.846191,105.1810455,6120.152832,123.2458344,134.3033447,488.5118713,,15370.35352,227.3263855,743.7018433,1109.011841,122.4806976,493.8000183,311.6115112,447.1946106,407.0685425,362.7594604,3493.250244,204.4837189,,128.0537415,,,139.3000031,1541.545898,556.2216187,835.5227051,141.0406799,79.55299377,326.9286194,163.0697632,114.6500015,541.3127441,100.405983,351.2256165,86.42066193,402.1656494,453.0853882,249.1725311,154.8855743,184.289917,97.87448883,433.2769775,431.2109375,229.0631104,137.444046,724.2640991,,98.58803558,31.14191055,,948.2874146,502.1434631,,231.9954224,167.7949524,58.45664978,169.9499969,14.39999962,836.1156006,,410.0656738,368.5499878,107.6986313,123.8540497,,124.8065033,,49.6979599,556.8165283,,120.8343582,,459.5677185,73.75979614,72.55000305,72.82008362,,480.4105835,,445.6416016,315.4337158,67.01487732,511.8242188,563.9714355,460.0565186,553.9800415,423.4555359,,297.6618958,141.5289154,724.1109009,12904.32617,1786.392578,,80.07844543,175.7042236,,67.89762878,1298.053711,3660.623047,1195.349609,48.44124603,345.7454834,203.5740204,297.8175049,388.2174988,757.380249,60.31020355,553.5987549,152.0367889,172.3039551,139.9499969,96.73712921,,66.51390839,308.1625977,834.8994141,459.5151367
18/07/16,212.1829224,995.9460449,564.743103,2394.293701,871.3513184,2456.021973,279.0343628,322.7036438,1296.143433,496.8006897,225.9017639,1109.189819,3413.060547,1801.876953,719.8068848,334.0358276,598.1367798,,2785.874268,133.4518433,856.0568848,1255.918213,232.7781219,213.4002686,83.91033936,1111.989258,472.2419128,144.8014374,775.4998169,946.0683594,702.7722778,4206.510254,104.7434998,6106.958008,117.0099335,133.4447784,485.6402893,,15672.79492,224.6259766,749.7835693,1103.614746,120.0329056,492.6499939,305.5531311,449.4569702,403.2195129,355.7808228,3460.705078,203.5433502,,127.1311874,,,143.3500061,1525.566772,557.5692139,818.2611694,143.7832184,80.68079376,321.1959839,157.9071198,110.6500015,536.8984375,99.63650513,355.8060913,84.72375488,391.9823303,465.9110718,239.5703125,155.9637146,183.9440155,97.42589569,435.5345459,418.3872375,222.1841888,134.0987396,729.0463867,,95.04308319,29.22842216,,951.0370483,508.4331665,,232.6357269,167.1888733,56.74711609,170.8500061,14.14999962,818.2602539,,412.138031,360.1499939,107.6790848,122.899498,,120.2889099,,50.13137054,558.2711792,,119.9637222,,458.9760742,73.75979614,68.94999695,72.24482727,,475.6106262,,448.3675232,322.444397,67.55896759,504.0979919,543.5718994,458.1679077,556.6462402,417.128479,,297.3162537,137.0878296,714.9077759,12805.7168,1787.357544,,77.81590271,171.3092041,,66.03044128,1300.383423,3680.760742,1160.684448,46.79424286,337.954071,205.464035,292.4880676,386.3310852,767.7957153,59.21595001,548.8914795,150.6562653,172.387619,138.3999939,96.99565125,,62.17343903,307.1211548,841.1317749,448.9023438
19/07/16,214.7628174,998.0764771,559.2539673,2397.334961,855.7424927,2493.752441,287.0619202,324.1719055,1270.255615,495.6737366,224.0054626,1116.704468,3430.423584,1779.821045,714.1730347,337.5727539,593.7024536,,2770.014404,134.181076,831.1721191,1248.641968,237.8596344,213.5289001,87.6207428,1088.636353,474.4242249,146.7985229,776.4981079,945.1069336,696.9824829,4235.736328,105.1473999,6129.149414,118.2945938,136.0613556,491.2146301,,15779.95703,225.4606628,755.2860107,1118.467529,120.1252899,499.25,309.3971252,450.3442078,402.6835938,354.1802063,3469.904541,202.5476685,,125.4777832,,,141.6999969,1556.704712,558.0505371,832.2802124,142.7041931,81.07118225,330.4345398,157.1625214,111.6500015,548.4863281,99.51625824,359.0365601,84.72375488,397.0988464,471.4134216,251.257843,157.1958466,186.0965118,97.54824066,434.8434448,421.8578796,223.6816406,134.8633881,747.4230957,,97.82155609,29.94598007,,946.9366455,503.3786316,,235.2955627,163.8320465,57.22198105,173.4499969,14.05000019,816.3470459,,414.8516846,361.7000122,107.6204605,122.7085876,,122.4204407,,49.01841736,559.647522,,121.6591721,,463.9558105,74.91156769,69.09999847,72.1009903,,464.4106445,,447.9718018,315.4337158,67.92169952,509.880188,496.9761963,463.6621094,557.1223145,415.1243896,,296.4274292,139.7524567,718.7750244,12787.14844,1796.135986,,79.78837585,172.8718567,,67.04890442,1294.268311,3660.868164,1135.609253,46.93956757,338.9722595,207.0058899,291.3253479,386.71698,773.654541,59.25804138,547.5675049,149.6765137,173.8887024,137.1499939,96.58688354,,63.64021683,308.0678406,834.1633301,454.1600647
20/07/16,215.5416107,995.9945679,552.1327515,2415.148682,855.4503784,2549.499512,288.2409668,323.3710022,1292.990967,507.4824219,231.2393951,1143.102295,3517.238525,1792.449585,726.4083862,337.5033875,600.4514771,,2807.776855,132.1391754,842.0824585,1244.817261,236.4014587,214.5577393,91.04709625,1099.796631,472.743866,146.0140839,780.8907471,943.9349976,699.2792969,4220.10791,105.9215317,6158.305664,119.8468781,137.6558228,493.7242432,,15921.73438,226.9826965,769.6213989,1131.506348,123.6352844,493.8999939,307.8929443,448.3479919,401.5629883,353.8921204,3521.442627,198.7124481,,127.1072083,,,141.1999969,1575.484009,570.7963257,833.6152954,142.9289703,81.07118225,327.0707397,156.4179077,109.75,549.9829712,100.1655121,359.8080139,87.36000824,399.5328674,468.4684753,252.0822906,159.3906708,187.5571442,98.73088074,432.1250916,428.0785217,221.6694489,145.759491,757.2092896,,97.39041138,29.65895844,,956.6087036,508.2273254,,244.8019562,164.6246185,59.54885101,178.4499969,14.19999981,836.5571899,,421.364563,371.6000061,108.1285629,122.899498,,123.7248077,,49.59908676,560.984314,,123.5379105,,481.5082397,76.98477173,69.75,72.86803436,,460.9363403,,448.543396,309.9427795,69.32727051,558.2313232,504.8085938,465.7224121,566.5012207,423.3218689,,300.2790222,140.8296661,723.6703491,12994.48828,1787.90918,,81.00666046,181.4178009,,68.38988495,1311.157349,3673.980225,1126.259277,46.35827255,354.6437073,209.7911682,292.5365601,397.5209961,774.3519287,60.89941406,552.8633423,155.1986694,172.4220581,136.6499939,96.16065979,,63.07146835,316.7304688,832.2003174,450.2654419
21/07/16,217.2940063,1009.696533,532.1541138,2407.54541,862.1582642,2603.89917,289.1189575,327.3308716,1295.429932,505.5224915,234.118866,1144.402954,3460.175049,1783.889038,735.3504639,334.5212708,598.6972046,,2800.104736,130.1945343,845.0072021,1243.371582,231.4524994,214.8578339,92.5650177,1117.643188,471.3471069,145.3604584,759.3768311,935.9431763,692.2594604,4167.748047,104.2722931,6336.754883,119.1510162,132.872406,485.6885681,,16087.83594,221.5818634,766.677063,1136.540283,121.7417374,491.0499878,302.7537537,448.3035889,398.7371216,357.9576111,3599.243896,199.8740845,,127.5145645,,,141,1566.021851,568.6155396,838.479248,141.9848175,84.02080536,327.0233459,151.1559906,107.1500015,545.7341919,99.19564056,350.9845276,84.90557098,398.2910156,460.9513245,243.256012,158.3124847,193.0457764,99.62807465,429.1763916,425.1520691,218.8149109,143.608963,783.3352051,,96.19280243,28.98924065,,954.3358154,515.4090576,,247.855835,162.8063507,57.88680649,180.5500031,14.05000019,834.4968872,,425.8545532,367.8999939,109.056839,121.8017578,,123.3748474,,48.72808075,561.5348511,,122.3465042,,476.5777283,73.57550812,67.59999847,71.76542664,,459.7020569,,443.0915222,310.1878967,67.96703339,554.1937866,500.8703918,467.2677002,558.2648315,424.4098511,,293.4152527,141.6611786,721.8590698,13079.90234,1795.216675,,80.27182007,183.2246552,,67.50720978,1324.600098,3672.101074,1101.797852,45.19568253,360.7971497,213.3970947,291.0346375,391.8618164,771.5853882,59.55265045,552.9613647,152.7938843,172.8305817,130.9499969,98.61672974,,63.13133621,317.5352783,831.1696777,443.3187256
