Date,Close,Open,High,Low,Volume
26/05/16,370.45,375.53,376.00,368.33,3231109.00
27/05/16,378.80,371.30,379.85,371.30,3045095.00
30/05/16,373.78,380.55,381.85,372.60,1593326.00
31/05/16,369.90,374.00,376.68,368.18,15048108.00
01/06/16,367.28,372.00,372.18,365.85,2246778.00
02/06/16,360.68,367.50,369.80,357.75,4293828.00
03/06/16,360.95,362.65,363.23,360.35,1503353.00
06/06/16,362.30,361.00,364.35,357.80,2040535.00
07/06/16,363.35,364.00,365.73,360.80,2492188.00
08/06/16,371.75,364.50,372.50,364.18,1900304.00
09/06/16,376.53,374.35,377.95,372.00,2778851.00
10/06/16,375.53,375.00,379.00,372.98,5785832.00
13/06/16,376.83,372.50,378.00,370.85,2065113.00
14/06/16,376.20,377.50,382.48,372.03,1646371.00
15/06/16,377.60,375.50,378.65,374.98,979272.00
16/06/16,375.85,376.28,377.00,371.25,1133152.00
17/06/16,376.83,375.00,377.50,373.93,2717006.00
20/06/16,385.33,374.98,390.73,373.93,4132686.00
21/06/16,385.05,384.25,387.90,383.10,1466470.00
22/06/16,385.23,387.00,387.00,383.15,1567059.00
23/06/16,384.90,385.00,386.00,381.00,1292218.00
24/06/16,370.93,371.98,373.35,361.65,3081689.00
27/06/16,367.53,365.10,374.50,360.50,1443753.00
28/06/16,356.60,364.50,368.75,355.58,2842681.00
29/06/16,364.23,357.85,364.98,354.00,2483234.00
30/06/16,365.23,364.60,367.73,363.20,2396993.00
01/07/16,365.85,367.50,368.40,365.00,1011883.00
04/07/16,374.18,367.50,375.00,367.03,1631809.00
05/07/16,369.20,374.00,374.00,366.10,1867820.00
07/07/16,358.55,370.50,370.50,357.88,3432568.00
08/07/16,360.93,357.50,362.88,357.50,851316.00
11/07/16,358.40,361.00,363.30,357.53,2124375.00
12/07/16,360.68,359.00,361.65,358.03,1614918.00
13/07/16,360.00,361.25,362.00,358.30,3356550.00
14/07/16,364.13,360.75,364.95,359.80,1084386.00
15/07/16,358.75,366.45,370.00,355.13,2967531.00
18/07/16,361.25,361.10,362.35,357.50,928673.00
19/07/16,365.08,358.88,365.85,358.88,1734756.00
20/07/16,365.00,362.45,365.95,358.30,1222225.00
21/07/16,361.78,365.00,365.45,360.08,885024.00
22/07/16,364.60,362.50,365.00,360.80,914314.00
25/07/16,370.20,364.75,370.50,362.50,1488302.00
26/07/16,372.63,369.45,373.70,368.13,1349165.00
27/07/16,376.75,373.50,377.45,371.25,1677289.00
28/07/16,375.40,378.75,379.48,373.05,2277034.00
29/07/16,376.48,374.50,379.00,372.75,847328.00
01/08/16,390.23,376.50,395.50,376.25,3026539.00
02/08/16,400.38,392.93,402.45,390.58,4700089.00
03/08/16,413.08,428.50,429.25,408.18,9552545.00
04/08/16,411.93,416.50,418.00,410.05,1485837.00
05/08/16,410.88,412.40,415.73,408.65,1300356.00
08/08/16,409.55,411.00,414.70,405.80,1514566.00
09/08/16,408.43,410.50,412.30,405.53,1240369.00
10/08/16,409.08,408.38,410.00,402.78,1152698.00
11/08/16,412.28,410.00,413.73,406.90,1739623.00
12/08/16,407.10,413.03,417.75,403.50,1651570.00
16/08/16,396.18,406.60,411.90,392.78,2244771.00
17/08/16,392.28,395.00,400.43,391.00,2367829.00
18/08/16,392.90,394.90,396.20,390.05,1541722.00
19/08/16,390.93,392.50,397.20,389.80,1309172.00
22/08/16,386.13,392.48,393.68,382.50,1346765.00
23/08/16,395.50,388.00,397.93,385.80,1707691.00
24/08/16,395.18,397.50,399.18,390.55,1208724.00
25/08/16,399.03,399.00,402.50,397.03,2212911.00
26/08/16,389.38,399.00,400.23,386.40,1662032.00
29/08/16,377.55,391.48,391.48,375.55,1530452.00
30/08/16,386.95,378.00,387.88,376.95,2160269.00
31/08/16,389.28,387.00,396.73,386.53,2792176.00
01/09/16,391.90,390.65,394.78,389.55,1298758.00
02/09/16,392.28,393.48,393.75,389.55,1131826.00
06/09/16,392.80,390.13,394.15,387.35,1522299.00
07/09/16,393.55,395.95,403.50,391.50,1789682.00
08/09/16,386.98,390.75,390.95,375.25,2579366.00
09/09/16,390.28,387.00,394.75,386.50,1467060.00
12/09/16,391.35,386.00,396.05,385.00,2385247.00
14/09/16,388.18,392.33,397.33,387.50,1623566.00
15/09/16,389.50,391.48,392.25,387.50,953499.00
16/09/16,393.18,391.00,395.48,387.00,2159427.00
19/09/16,394.53,395.00,399.10,390.95,1883283.00
20/09/16,396.03,397.48,397.88,392.25,1515605.00
21/09/16,396.30,396.98,399.00,394.25,1403065.00
22/09/16,394.43,399.50,399.98,391.90,1117361.00
23/09/16,398.63,397.33,402.00,396.20,2605785.00
26/09/16,394.48,397.53,398.48,392.83,1825995.00
27/09/16,397.93,394.48,399.90,392.00,1631598.00
28/09/16,398.15,399.00,400.95,395.00,1533187.00
29/09/16,395.53,399.50,402.30,390.65,2846344.00
30/09/16,399.95,398.50,402.00,393.50,1831300.00
03/10/16,404.30,402.50,406.00,397.20,1516868.00
04/10/16,409.08,406.25,410.50,405.00,1506687.00
05/10/16,408.00,409.13,411.63,403.13,798470.00
06/10/16,400.78,408.00,408.38,398.60,1588731.00
07/10/16,403.28,401.08,404.73,392.65,767927.00
10/10/16,406.50,401.00,407.93,401.00,769244.00
13/10/16,401.65,404.90,412.55,395.33,2076011.00
14/10/16,406.35,402.00,411.25,399.93,1376193.00
17/10/16,404.20,408.80,409.00,401.50,740093.00
18/10/16,417.40,406.00,418.20,406.00,1326969.00
19/10/16,415.28,417.30,420.83,413.00,2139260.00
20/10/16,407.78,414.78,416.50,406.03,2488727.00
21/10/16,415.88,411.50,424.35,410.63,5141259.00
24/10/16,405.33,415.63,418.45,404.33,1707222.00
25/10/16,402.28,403.38,405.75,401.25,1734565.00
26/10/16,395.43,400.85,401.93,393.80,1611775.00
27/10/16,387.15,392.40,393.33,385.65,2025316.00
28/10/16,381.58,387.08,390.60,380.00,2711466.00
01/11/16,386.45,385.90,388.20,383.50,1098171.00
02/11/16,382.15,382.50,386.50,381.50,1027083.00
03/11/16,381.55,382.95,384.63,380.25,1203338.00
04/11/16,397.38,381.50,399.50,381.50,2841663.00
07/11/16,408.60,400.00,413.75,397.45,2993787.00
08/11/16,404.50,405.50,407.95,395.63,1257371.00
09/11/16,392.43,382.50,398.88,381.58,2648398.00
10/11/16,394.83,395.03,402.90,388.00,1822273.00
11/11/16,382.05,392.43,396.50,377.50,2521761.00
15/11/16,385.38,382.50,393.50,368.00,2628788.00
16/11/16,386.93,388.00,393.98,382.13,2281346.00
17/11/16,380.08,383.00,388.00,378.00,2688419.00
18/11/16,381.93,378.80,389.48,378.80,1841117.00
21/11/16,379.18,382.50,389.75,377.60,1077860.00
22/11/16,381.05,382.50,383.75,377.53,1031823.00
23/11/16,381.73,381.50,384.35,378.23,900878.00
24/11/16,383.90,382.50,386.33,376.50,2093744.00
25/11/16,400.98,385.98,406.00,385.03,2738666.00
28/11/16,403.03,403.00,405.58,395.18,1516524.00
29/11/16,402.65,403.00,406.85,399.65,823680.00
30/11/16,401.90,405.00,405.23,399.00,1531730.00
01/12/16,401.55,401.95,403.25,396.00,1256375.00
02/12/16,396.80,400.85,408.45,395.00,1051697.00
05/12/16,396.70,394.78,400.73,391.10,753658.00
06/12/16,390.45,399.00,400.75,389.20,778814.00
07/12/16,392.68,393.35,394.55,385.55,810851.00
08/12/16,397.43,394.50,398.50,391.50,1031818.00
09/12/16,401.65,398.50,402.95,391.63,1349777.00
12/12/16,399.90,398.00,401.78,395.33,1505531.00
13/12/16,400.48,400.53,401.95,395.60,938976.00
14/12/16,410.40,403.05,412.15,398.13,1860577.00
15/12/16,416.08,411.00,420.00,411.00,2800815.00
16/12/16,410.30,417.90,417.90,407.60,1316441.00
19/12/16,412.35,410.30,413.45,407.50,1074079.00
20/12/16,415.08,412.50,417.08,412.18,1402284.00
21/12/16,410.40,417.50,418.40,408.15,1031894.00
22/12/16,408.55,409.15,411.45,403.00,791257.00
23/12/16,396.88,408.00,408.00,395.50,1452634.00
26/12/16,395.20,395.95,398.90,391.65,558575.00
27/12/16,402.43,394.45,404.95,393.50,505709.00
28/12/16,403.53,405.00,408.88,402.08,717216.00
29/12/16,409.68,403.55,412.45,402.65,1780001.00
30/12/16,413.98,411.00,415.00,407.45,1025942.00
02/01/17,414.25,411.50,417.00,411.15,421243.00
03/01/17,417.58,415.50,418.50,411.75,718533.00
04/01/17,428.48,417.78,430.00,416.53,2116878.00
05/01/17,422.33,430.00,434.88,420.05,2078807.00
06/01/17,407.20,417.50,420.15,403.38,2795799.00
09/01/17,419.15,403.25,420.08,402.98,1919794.00
10/01/17,418.93,421.35,422.00,417.25,1306967.00
11/01/17,416.63,419.75,422.25,413.38,1383056.00
12/01/17,423.85,415.03,424.95,415.03,1645278.00
13/01/17,425.13,425.10,428.98,419.30,2286999.00
16/01/17,415.28,423.95,423.95,413.40,1214669.00
17/01/17,418.88,413.50,421.75,413.50,2049631.00
18/01/17,422.03,418.75,422.78,418.13,1084391.00
19/01/17,422.08,422.00,425.73,418.80,1056038.00
