Date,Close,High,Low,Volume
26/05/16,591.63,594.45,583.13,3426390.00
27/05/16,593.40,595.00,588.35,1443796.00
30/05/16,589.88,597.50,589.05,953633.00
31/05/16,590.95,592.95,588.70,1378910.00
01/06/16,587.58,591.48,585.50,1418908.00
02/06/16,587.48,590.30,585.50,1977654.00
03/06/16,585.88,592.50,584.53,1131105.00
06/06/16,585.55,591.20,585.03,1386827.00
07/06/16,586.85,590.00,583.83,1407126.00
08/06/16,581.30,589.00,580.50,1185703.00
09/06/16,579.70,582.10,576.25,1162046.00
10/06/16,580.68,586.35,578.10,1580578.00
13/06/16,576.45,582.48,575.53,830809.00
14/06/16,575.93,578.50,572.13,957192.00
15/06/16,584.78,585.45,576.60,761456.00
16/06/16,581.08,584.43,577.68,1181942.00
17/06/16,585.00,589.00,582.78,940413.00
20/06/16,586.03,589.63,579.40,685691.00
21/06/16,583.33,587.73,580.60,667742.00
22/06/16,585.75,587.50,583.00,950960.00
23/06/16,595.05,595.93,583.75,981683.00
24/06/16,580.95,585.95,573.50,2793491.00
27/06/16,579.98,584.50,576.53,1040947.00
28/06/16,583.48,586.55,575.00,1008745.00
29/06/16,584.15,584.75,579.85,1355167.00
30/06/16,588.23,590.00,581.08,4069723.00
01/07/16,587.25,592.50,585.90,1076219.00
04/07/16,586.40,589.75,585.70,1812463.00
05/07/16,582.80,587.15,581.00,534082.00
07/07/16,592.83,594.38,580.45,1208154.00
08/07/16,587.43,592.80,585.63,779717.00
11/07/16,599.88,600.95,590.53,1275633.00
12/07/16,601.08,604.95,597.78,1761508.00
13/07/16,598.88,600.98,596.65,1671768.00
14/07/16,600.18,601.08,596.10,864917.00
15/07/16,611.85,613.00,597.55,1443554.00
18/07/16,613.73,619.25,611.33,1109621.00
19/07/16,609.18,615.38,606.93,646501.00
20/07/16,616.10,619.25,610.88,1172583.00
21/07/16,614.30,619.95,611.25,2278226.00
22/07/16,615.40,617.33,610.75,1405068.00
25/07/16,623.48,624.73,613.50,2468221.00
