Date,Close,High,Low,Volume
26/05/16,219.23,220.91,211.82,30591612.00
27/05/16,221.05,225.64,216.45,24166078.00
30/05/16,222.27,224.18,217.09,14418397.00
31/05/16,222.41,226.36,219.36,16590218.00
01/06/16,218.23,223.14,217.36,10784282.00
02/06/16,219.41,220.36,216.00,13954119.00
03/06/16,221.59,224.00,220.00,15060651.00
06/06/16,221.36,223.64,220.00,10538257.00
07/06/16,231.00,231.68,222.45,23010314.00
08/06/16,234.23,237.45,229.82,22853993.00
09/06/16,231.41,235.68,230.18,12533855.00
10/06/16,229.64,234.23,228.64,12033135.00
13/06/16,221.59,225.82,220.41,12998064.00
14/06/16,222.68,224.95,222.09,10898826.00
15/06/16,225.41,226.55,219.64,14328741.00
16/06/16,217.32,221.55,216.41,15492747.00
17/06/16,216.77,220.18,213.77,13773585.00
20/06/16,216.45,217.68,212.41,16163924.00
21/06/16,216.23,219.09,214.77,11083331.00
22/06/16,217.27,220.32,214.36,12252779.00
23/06/16,219.00,219.50,214.59,7253850.00
24/06/16,209.95,211.73,201.00,30686939.00
27/06/16,211.55,213.09,208.45,11975426.00
28/06/16,211.95,212.91,209.09,10275216.00
29/06/16,215.14,216.64,212.95,7236342.00
30/06/16,218.68,220.73,217.55,15319150.00
01/07/16,218.50,220.59,217.77,8280776.00
04/07/16,225.59,226.32,219.91,9444748.00
05/07/16,222.82,228.27,222.32,9431939.00
07/07/16,222.59,224.59,221.82,7605424.00
08/07/16,219.95,222.27,217.77,6962010.00
11/07/16,227.14,227.91,224.18,8802169.00
12/07/16,237.91,238.36,227.95,25962318.00
13/07/16,237.41,243.36,235.55,25680846.00
14/07/16,244.18,245.09,236.05,12972150.00
15/07/16,241.59,245.32,239.45,10464045.00
18/07/16,239.45,246.59,238.68,13009340.00
19/07/16,244.68,245.91,239.32,13527318.00
20/07/16,243.18,243.82,241.32,7174740.00
21/07/16,238.09,244.55,237.55,10963970.00
22/07/16,239.50,240.36,235.32,7761443.00
25/07/16,244.23,246.32,237.05,10283231.00
26/07/16,237.86,245.00,236.45,10815235.00
27/07/16,246.00,248.91,238.91,23639954.00
28/07/16,247.27,249.09,245.86,8892315.00
29/07/16,239.00,246.68,238.23,19195478.00
01/08/16,226.82,237.55,225.64,38711865.00
02/08/16,223.00,226.77,222.73,18871665.00
03/08/16,220.09,224.77,218.68,16282188.00
04/08/16,218.50,222.77,215.14,27210481.00
05/08/16,223.59,226.05,221.91,14824864.00
08/08/16,222.95,225.18,222.32,10824415.00
09/08/16,223.05,225.91,222.27,11492740.00
