Date,Close,High,Low,Volume
26/05/16,473.43,476.20,472.05,3243601.00
27/05/16,487.35,488.45,474.38,3063379.00
30/05/16,484.35,490.75,482.50,2202091.00
31/05/16,478.93,486.50,478.25,5333469.00
01/06/16,476.80,483.05,475.90,2067034.00
02/06/16,478.13,478.58,472.55,2343852.00
03/06/16,479.83,481.45,477.93,1975712.00
06/06/16,477.40,481.50,476.28,1982466.00
07/06/16,477.53,480.48,475.80,4332627.00
08/06/16,477.05,479.00,474.58,2773975.00
09/06/16,485.58,488.23,478.10,3575840.00
10/06/16,488.35,492.20,484.15,3729737.00
13/06/16,490.55,491.73,481.53,2334856.00
14/06/16,488.13,492.70,484.65,2497008.00
15/06/16,492.30,493.25,486.88,2543921.00
16/06/16,488.15,491.83,483.53,2142329.00
17/06/16,487.45,489.33,485.05,2408096.00
20/06/16,495.10,496.30,484.00,2459237.00
21/06/16,493.55,497.08,489.85,3184865.00
22/06/16,490.25,492.95,488.55,2923284.00
23/06/16,490.23,491.00,485.00,2248693.00
24/06/16,475.73,482.45,466.70,5711173.00
27/06/16,477.83,479.20,470.25,2094599.00
28/06/16,478.90,480.78,477.50,1738370.00
29/06/16,483.45,484.48,480.00,1719857.00
30/06/16,484.58,488.75,483.53,2916329.00
01/07/16,486.73,488.40,485.00,1510979.00
04/07/16,493.35,496.80,487.75,1783750.00
05/07/16,496.55,501.45,490.15,2596678.00
07/07/16,493.95,500.25,493.08,2749648.00
08/07/16,489.20,494.50,488.18,1632225.00
11/07/16,496.25,497.48,492.75,1889606.00
12/07/16,501.70,502.50,495.50,2232685.00
13/07/16,504.38,508.35,502.08,3409386.00
14/07/16,502.45,507.05,499.13,2459183.00
15/07/16,506.10,510.50,501.75,3198562.00
18/07/16,503.13,519.38,500.88,7339086.00
19/07/16,508.90,511.48,497.65,3805750.00
20/07/16,511.50,514.15,508.28,2803645.00
21/07/16,503.18,512.50,502.50,1534044.00
22/07/16,507.43,508.90,502.55,1577114.00
25/07/16,511.38,511.88,503.68,1883884.00
26/07/16,512.03,517.40,507.60,2403872.00
27/07/16,506.55,513.00,504.48,2521448.00
28/07/16,513.18,515.25,506.53,3568375.00
29/07/16,507.45,512.45,506.00,2201164.00
01/08/16,504.75,510.15,502.53,1823694.00
02/08/16,506.40,510.00,503.15,1762408.00
03/08/16,496.98,507.20,495.75,2713804.00
04/08/16,496.50,500.00,491.70,2328716.00
05/08/16,508.13,509.50,498.53,2767914.00
08/08/16,514.63,517.00,509.33,3098753.00
09/08/16,515.35,517.25,510.50,3038046.00
10/08/16,501.83,517.28,501.00,3079463.00
11/08/16,507.05,511.43,499.80,3238899.00
12/08/16,517.90,521.45,508.50,3740861.00
16/08/16,512.45,522.40,507.75,3055603.00
17/08/16,506.65,514.40,503.60,3539970.00
18/08/16,509.03,511.83,508.00,1771449.00
19/08/16,507.45,511.00,503.55,1869308.00
22/08/16,505.93,509.85,503.60,1527904.00
23/08/16,505.23,507.50,502.50,1673328.00
24/08/16,510.25,510.98,505.50,1993153.00
25/08/16,506.35,514.50,504.50,3419775.00
26/08/16,513.95,515.40,507.30,2203465.00
29/08/16,528.73,529.88,513.05,3701495.00
30/08/16,533.20,534.25,526.50,4153522.00
31/08/16,530.00,537.00,523.50,5324960.00
01/09/16,514.60,536.38,512.85,9742454.00
02/09/16,506.68,516.28,501.15,6428814.00
06/09/16,509.95,512.50,507.50,2631091.00
07/09/16,508.83,513.53,506.53,2954995.00
08/09/16,516.70,517.98,510.10,2790196.00
09/09/16,522.28,524.95,515.00,3490441.00
12/09/16,523.25,528.00,514.58,7699800.00
14/09/16,522.38,529.50,520.45,4252754.00
15/09/16,532.50,535.10,523.50,7170885.00
16/09/16,537.78,546.93,529.55,8988926.00
19/09/16,541.20,544.00,535.50,3812324.00
20/09/16,537.10,542.38,534.53,2635854.00
21/09/16,536.13,542.45,534.50,2501476.00
22/09/16,544.48,547.90,539.50,4288544.00
23/09/16,551.40,554.73,544.50,7105725.00
26/09/16,553.60,564.78,550.13,8734943.00
27/09/16,555.25,562.98,553.30,4428693.00
28/09/16,545.33,554.00,543.15,5673488.00
29/09/16,536.23,555.38,533.70,4859746.00
30/09/16,541.85,547.28,533.15,2560105.00
03/10/16,545.35,553.98,538.13,4143109.00
04/10/16,548.18,554.15,546.00,2997544.00
05/10/16,544.70,553.25,542.90,2466397.00
06/10/16,555.40,563.13,546.00,4825630.00
07/10/16,554.50,561.53,553.25,3492838.00
10/10/16,548.18,561.00,547.00,2640973.00
13/10/16,528.58,544.53,526.00,5014667.00
14/10/16,538.83,541.00,530.83,3489473.00
17/10/16,530.33,540.40,529.38,2246237.00
18/10/16,540.55,541.38,531.03,2531133.00
19/10/16,543.68,547.35,540.70,3902656.00
20/10/16,543.78,549.00,542.03,2314521.00
21/10/16,532.10,548.50,529.20,9968242.00
24/10/16,531.65,537.00,530.33,2403099.00
25/10/16,530.43,532.63,527.10,1750711.00
26/10/16,527.03,529.73,526.05,2502055.00
27/10/16,524.35,526.95,521.70,2935574.00
28/10/16,527.48,529.00,521.90,1857917.00
01/11/16,525.50,527.98,523.70,2337011.00
02/11/16,511.88,521.43,510.50,1609225.00
03/11/16,511.98,517.38,510.30,1671371.00
04/11/16,502.78,513.45,500.00,2636911.00
