Date,Close,High,Low,Volume
26/05/16,204.36,205.8,203.63,1234981
27/05/16,204.53,206.63,203.63,1211378
30/05/16,206.31,207.19,204.17,1069996
31/05/16,204.54,207,203.76,2070089
01/06/16,207.94,208.43,204.6,1022436
02/06/16,202.65,209.61,200.42,2580517
03/06/16,202.8,203.81,202.13,1329106
06/06/16,200.66,203.21,200.03,1932039
07/06/16,202.44,202.93,201.45,1933849
08/06/16,204.23,204.39,202.5,1524222
09/06/16,204.3,205.16,203.33,1768142
10/06/16,204.51,205.18,203.63,1192347
13/06/16,202.95,204.26,202.07,652571
14/06/16,203.66,204,202.5,1050459
15/06/16,205.14,205.41,203.36,424356
16/06/16,206.21,206.63,203.08,690373
17/06/16,207.02,207.75,205.88,1615089
20/06/16,208.89,209.57,204.41,1389231
21/06/16,210.38,211.07,207.53,989444
22/06/16,211.18,211.5,209.81,1385923
23/06/16,211.39,211.82,209.76,671251
24/06/16,208.18,209.16,205.24,1351887
27/06/16,205.5,208.11,205.2,1065940
28/06/16,203.4,205.03,202.97,992969
29/06/16,207.96,208.88,203.25,936348
30/06/16,209.23,210.81,208.14,1459731
01/07/16,209.59,211.88,208.89,538677
04/07/16,210.64,211.88,210,994691
05/07/16,211.86,213.38,208.52,905901
07/07/16,209.85,212.98,209.08,1427629
08/07/16,210.62,211.29,208.14,871571
11/07/16,213.32,214.13,210.99,1032957
12/07/16,214.05,214.46,211.88,656044
13/07/16,215.23,216.68,213.68,1057197
14/07/16,213.98,215.23,212.06,508871
15/07/16,207.94,215.59,207.45,3427539
18/07/16,206.98,207.73,204.3,1647148
19/07/16,205.97,207.66,204,2789566
20/07/16,202.07,202.97,194.25,9520746
21/07/16,203.25,204.3,202.09,1444403
22/07/16,201.66,202.88,200.63,1374380
25/07/16,203.57,203.89,200.63,732852
26/07/16,204.79,206.53,202.86,1641039
27/07/16,205.93,207.28,203.46,1412829
28/07/16,207.68,208.78,204,1148900
29/07/16,204.39,207.38,203.49,1394086
01/08/16,209.14,210.66,204.38,2273195
02/08/16,206.1,209.63,205.5,1165562
03/08/16,205.48,208.18,205.05,1444485
04/08/16,205.58,207,204.51,1149770
05/08/16,205.2,207.19,204.6,582867
08/08/16,205.88,207.32,204.84,1025346
09/08/16,206.76,207.19,204.86,876922
10/08/16,203.49,206.63,202.52,631833
11/08/16,203.63,205.33,202.5,499801
12/08/16,203.91,206.06,202.69,780651
16/08/16,201.19,204.75,200.55,926075
17/08/16,197.93,201.81,197.48,993836
18/08/16,196.91,198.77,196.2,909700
19/08/16,195.04,198.68,194.64,1031960
22/08/16,193.31,195,192.94,1016786
23/08/16,194.85,195.19,193.13,1154254
24/08/16,194.87,195.75,193.89,1047588
25/08/16,189,195.47,188.34,4837138
26/08/16,183.75,189.77,183,3318483
29/08/16,179.55,184.33,178.91,5095626
30/08/16,183.54,183.92,179.31,4531046
31/08/16,184.37,186,182.34,2811028
01/09/16,181.48,183.64,180.56,1988414
02/09/16,181.35,182.08,179.74,1614602
06/09/16,181.09,182.03,180,1592073
07/09/16,180.66,183.66,180.02,2147450
08/09/16,177.73,179.87,176.33,2229724
09/09/16,180.24,181.13,177.86,1896208
12/09/16,180.15,181.28,177.06,1887831
14/09/16,179.27,181.86,178.44,1842448
15/09/16,179.42,179.93,177.84,1814622
16/09/16,179.78,180.86,179.25,2310804
19/09/16,179.98,180.73,178.58,2118736
20/09/16,180.39,180.94,179.29,1092998
21/09/16,181.44,181.69,180.09,1625366
22/09/16,180.66,181.95,179.85,1431194
23/09/16,180.08,181.39,179.64,2306416
26/09/16,179.74,180.38,178.54,2238608
27/09/16,181.58,181.88,179.63,1852179
28/09/16,181.39,181.76,180.13,795943
29/09/16,177.08,181.48,176.25,4940828
30/09/16,179.61,180,177.38,2103183
03/10/16,179.61,180.04,177.86,1000629
04/10/16,180.68,181.86,179.63,1330496
05/10/16,179.83,181.18,178.74,1413444
