Date,Close,High,Low,Volume
26/05/16,174.81,180.50,173.80,39382.00
27/05/16,177.06,179.00,175.20,56586.00
30/05/16,189.87,191.34,175.60,168946.00
31/05/16,195.11,198.58,188.40,347631.00
01/06/16,196.19,198.96,194.40,254936.00
02/06/16,205.34,209.40,194.01,271470.00
03/06/16,202.61,206.92,199.22,224914.00
06/06/16,201.17,204.53,198.40,26805.00
07/06/16,199.38,203.79,198.00,24757.00
08/06/16,202.26,205.20,198.00,65683.00
09/06/16,198.75,203.00,197.61,12735.00
10/06/16,195.86,199.80,195.21,32929.00
13/06/16,191.88,196.00,190.90,44664.00
14/06/16,189.91,194.00,188.00,71199.00
15/06/16,184.64,191.91,182.78,153074.00
16/06/16,184.11,188.20,180.21,2894875.00
17/06/16,183.52,185.62,182.10,50515.00
20/06/16,188.13,188.80,180.00,59903.00
21/06/16,187.61,189.39,185.74,62156.00
22/06/16,186.57,189.40,183.91,51075.00
23/06/16,186.36,188.99,184.05,28752.00
24/06/16,185.21,187.58,174.00,83179.00
27/06/16,191.99,193.80,184.00,76026.00
28/06/16,191.46,194.00,189.60,176712.00
29/06/16,189.75,193.00,188.80,210311.00
30/06/16,189.71,192.80,186.54,153485.00
01/07/16,195.67,196.80,189.20,115794.00
04/07/16,192.80,198.00,192.02,66573.00
05/07/16,192.00,195.60,190.47,62376.00
07/07/16,192.99,193.99,191.00,43133.00
08/07/16,193.33,194.98,190.00,141551.00
11/07/16,190.84,195.69,189.67,355231.00
12/07/16,192.61,193.36,189.20,70820.00
13/07/16,192.35,194.49,190.60,353489.00
14/07/16,191.27,194.30,188.76,390050.00
15/07/16,191.78,192.56,189.60,84381.00
18/07/16,191.42,194.00,190.00,46199.00
19/07/16,193.66,194.00,191.00,33035.00
20/07/16,195.18,198.16,193.05,255184.00
21/07/16,200.48,204.00,193.62,118718.00
22/07/16,204.22,206.00,197.21,85172.00
25/07/16,204.94,205.40,202.73,121824.00
26/07/16,208.01,209.52,203.20,586815.00
27/07/16,218.15,221.34,210.00,250514.00
28/07/16,216.23,221.93,215.99,277241.00
29/07/16,218.47,228.55,210.21,406780.00
01/08/16,230.43,234.57,215.99,198581.00
02/08/16,230.57,233.60,228.00,100738.00
03/08/16,224.40,230.20,218.64,301781.00
04/08/16,223.36,229.79,221.00,94897.00
05/08/16,224.76,227.96,219.80,45730.00
08/08/16,232.91,237.93,224.60,302402.00
09/08/16,228.17,234.39,226.70,22509.00
10/08/16,225.24,228.94,222.00,17756.00
11/08/16,219.81,226.95,218.00,23745.00
12/08/16,218.87,221.15,218.00,25458.00
16/08/16,222.46,223.00,217.12,40810.00
17/08/16,225.51,226.20,221.00,25375.00
18/08/16,222.57,227.00,221.00,222106.00
19/08/16,223.44,227.80,220.61,64718.00
22/08/16,221.20,226.38,219.74,39691.00
23/08/16,217.70,224.39,215.00,293138.00
24/08/16,217.45,223.22,215.80,148183.00
25/08/16,220.86,223.00,217.55,191861.00
26/08/16,231.93,235.60,219.61,202779.00
29/08/16,233.43,238.80,226.33,122708.00
30/08/16,234.05,236.75,232.00,26609.00
31/08/16,231.90,234.54,231.02,31921.00
01/09/16,233.22,234.40,231.99,70576.00
02/09/16,219.72,243.00,216.60,8193966.00
06/09/16,221.86,223.16,212.66,581077.00
07/09/16,222.66,223.88,218.10,483058.00
08/09/16,219.90,223.95,218.60,158332.00
09/09/16,220.57,223.40,216.20,535847.00
12/09/16,212.43,219.40,211.33,201313.00
14/09/16,214.86,216.73,211.43,154946.00
15/09/16,219.82,220.80,216.21,155588.00
16/09/16,219.65,222.84,211.00,1209087.00
19/09/16,216.96,220.95,215.00,110306.00
20/09/16,216.66,220.96,216.01,109673.00
21/09/16,215.40,218.86,214.20,119775.00
22/09/16,223.01,225.54,216.62,481947.00
23/09/16,223.43,226.96,220.40,128523.00
26/09/16,226.33,229.14,220.80,139045.00
27/09/16,227.17,234.20,224.45,164153.00
28/09/16,227.72,229.53,224.77,135821.00
29/09/16,224.68,232.15,207.99,314191.00
30/09/16,231.47,237.99,219.38,181338.00
03/10/16,236.21,241.40,230.29,117197.00
04/10/16,242.17,245.10,235.81,273455.00
05/10/16,245.63,246.98,240.02,84263.00
06/10/16,242.12,248.60,240.00,55638.00
07/10/16,239.78,246.00,238.00,44077.00
10/10/16,236.75,242.03,236.22,133221.00
13/10/16,237.20,239.00,230.84,150210.00
14/10/16,240.95,241.80,236.53,48048.00
17/10/16,240.32,245.80,237.80,199057.00
18/10/16,239.13,242.20,235.60,53917.00
19/10/16,237.55,242.40,236.30,46592.00
20/10/16,237.09,240.60,236.10,38367.00
21/10/16,241.73,243.59,238.40,50508.00
24/10/16,237.95,243.80,236.42,31109.00
25/10/16,235.14,239.78,233.68,88409.00
26/10/16,230.71,238.88,224.00,95630.00
27/10/16,227.83,233.60,226.72,53196.00
28/10/16,237.08,239.60,229.00,139101.00
01/11/16,233.29,237.27,231.05,32695.00
02/11/16,232.51,235.08,227.20,114335.00
03/11/16,227.27,233.60,224.22,178408.00
04/11/16,223.66,231.97,218.00,143576.00
07/11/16,223.34,232.00,221.24,233881.00
08/11/16,221.64,226.99,219.68,37901.00
09/11/16,210.04,215.75,186.65,175921.00
10/11/16,197.50,215.20,195.27,401631.00
11/11/16,187.14,199.60,174.00,534637.00
15/11/16,181.47,188.00,163.20,321040.00
16/11/16,195.31,200.00,180.82,414163.00
17/11/16,202.91,216.00,181.13,333644.00
18/11/16,196.88,208.80,191.00,287222.00
21/11/16,196.81,202.20,190.00,422122.00
22/11/16,199.44,205.00,196.78,479125.00
23/11/16,198.06,201.56,195.44,1033352.00
24/11/16,193.20,198.00,190.51,109829.00
25/11/16,199.04,200.66,191.24,222491.00
28/11/16,192.15,197.19,191.00,77082.00
29/11/16,195.70,198.60,192.21,1058211.00
30/11/16,194.09,201.99,193.25,121390.00
01/12/16,192.39,197.99,190.00,60231.00
02/12/16,188.43,194.00,186.60,38831.00
05/12/16,183.62,191.98,182.11,79684.00
06/12/16,182.07,186.98,181.60,54069.00
07/12/16,174.98,184.60,173.03,97301.00
08/12/16,177.92,180.00,175.61,74175.00
09/12/16,177.29,179.95,176.42,46838.00
12/12/16,173.98,179.98,173.01,667421.00
13/12/16,167.67,174.61,165.80,83737.00
14/12/16,162.15,169.39,160.81,280734.00
15/12/16,168.89,175.40,161.20,455964.00
16/12/16,165.40,170.40,164.60,80603.00
19/12/16,171.38,174.00,165.39,148605.00
20/12/16,174.09,178.77,171.20,630507.00
21/12/16,180.66,181.60,174.31,282146.00
22/12/16,180.44,184.00,176.60,290880.00
23/12/16,186.96,191.18,177.20,246872.00
26/12/16,186.12,195.60,177.21,168230.00
27/12/16,189.44,192.00,182.53,111404.00
28/12/16,187.87,194.36,186.24,102470.00
29/12/16,197.64,198.94,187.99,157847.00
30/12/16,189.32,199.00,188.02,4386921.00
02/01/17,189.99,192.00,187.40,70198.00
03/01/17,191.81,193.19,185.00,111458.00
04/01/17,190.66,193.55,189.40,51612.00
05/01/17,186.36,191.95,184.52,137723.00
06/01/17,188.57,190.08,186.30,79319.00
09/01/17,189.78,192.88,188.92,37620.00
10/01/17,191.47,192.79,190.40,38447.00
11/01/17,191.22,192.93,190.34,101619.00
12/01/17,189.79,193.00,189.00,78454.00
13/01/17,188.02,191.51,186.64,24234.00
16/01/17,189.88,190.00,186.02,138838.00
17/01/17,191.61,192.75,187.82,64919.00
18/01/17,199.97,202.80,194.00,213429.00
19/01/17,198.30,208.80,196.31,517152.00
20/01/17,197.36,200.36,195.59,164362.00
23/01/17,197.87,200.80,196.46,103236.00
24/01/17,202.00,204.00,197.69,179032.00
25/01/17,208.00,211.79,196.10,357092.00
27/01/17,209.62,213.53,207.04,209289.00
30/01/17,204.44,210.28,202.64,39634.00
31/01/17,205.77,211.20,204.20,102939.00
01/02/17,205.56,208.40,201.61,82046.00
02/02/17,208.81,215.18,206.60,261649.00
03/02/17,208.79,211.96,207.59,26944.00
06/02/17,208.60,210.60,205.23,29345.00
07/02/17,210.55,211.10,207.21,38493.00
08/02/17,204.44,210.07,202.05,78826.00
09/02/17,203.34,210.00,200.50,81620.00
10/02/17,203.89,207.11,203.00,112198.00
13/02/17,203.32,206.97,201.20,22927.00
14/02/17,201.90,206.74,200.81,30704.00
15/02/17,199.00,203.99,197.07,182053.00
16/02/17,204.10,206.00,198.40,41011.00
17/02/17,204.20,206.80,203.21,31692.00
20/02/17,204.24,206.99,203.20,60044.00
21/02/17,204.54,206.20,203.62,21119.00
22/02/17,203.52,205.20,202.26,34749.00
23/02/17,203.48,204.89,202.40,30450.00
27/02/17,194.07,204.31,192.26,5136097.00
28/02/17,194.74,195.37,192.34,184757.00
01/03/17,194.78,195.20,192.40,126560.00
02/03/17,190.32,195.00,189.40,127994.00
03/03/17,192.69,194.60,189.64,234418.00
06/03/17,190.85,193.40,190.11,182892.00
07/03/17,186.81,190.82,186.10,216199.00
08/03/17,188.92,190.40,186.05,55060.00
09/03/17,187.32,190.21,186.40,226502.00
10/03/17,183.07,189.58,182.40,248220.00
14/03/17,190.75,192.49,184.06,291770.00
15/03/17,197.61,198.78,189.60,258638.00
16/03/17,198.02,202.00,196.98,916239.00
17/03/17,192.58,198.80,189.42,905775.00
20/03/17,194.93,196.26,190.25,224552.00
21/03/17,196.02,197.40,192.01,285948.00
22/03/17,194.15,197.60,191.41,412430.00
23/03/17,199.97,202.46,194.20,391450.00
24/03/17,198.77,202.00,196.63,83995.00
27/03/17,201.36,204.20,196.60,82524.00
28/03/17,196.34,203.40,194.73,102362.00
29/03/17,194.71,199.99,190.10,679707.00
30/03/17,192.12,196.77,189.00,407176.00
31/03/17,193.01,195.00,192.25,569980.00
03/04/17,194.62,195.40,192.00,241635.00
05/04/17,195.78,198.30,193.80,809764.00
06/04/17,197.34,199.82,196.80,416976.00
07/04/17,200.90,203.36,196.00,185194.00
10/04/17,210.62,214.80,200.98,426245.00
11/04/17,215.67,218.00,207.99,455131.00
12/04/17,213.93,216.77,210.20,228225.00
13/04/17,212.87,216.01,210.00,248383.00
17/04/17,209.86,212.87,207.50,247775.00
18/04/17,209.74,211.69,208.49,239035.00
19/04/17,201.89,210.00,199.75,909418.00
20/04/17,206.80,210.00,204.41,547403.00
21/04/17,210.85,212.04,207.21,139787.00
24/04/17,219.24,222.94,210.80,187936.00
25/04/17,221.41,223.94,217.00,109413.00
26/04/17,227.54,229.99,218.62,186236.00
27/04/17,221.08,229.96,218.42,120617.00
28/04/17,222.36,227.76,221.37,243721.00
02/05/17,218.40,227.00,217.11,239078.00
03/05/17,218.65,221.19,217.48,247775.00
04/05/17,217.01,221.00,214.05,212043.00
05/05/17,218.22,221.20,214.82,191772.00
08/05/17,218.04,223.00,217.00,64473.00
09/05/17,215.71,220.80,214.63,102182.00
10/05/17,217.57,219.54,216.00,178150.00
11/05/17,218.88,221.60,218.26,232310.00
12/05/17,213.87,221.38,211.70,252721.00
15/05/17,209.92,214.95,208.58,288122.00
16/05/17,204.97,211.80,200.33,457237.00
17/05/17,208.86,210.52,205.01,425152.00
18/05/17,207.00,210.13,205.36,306088.00
19/05/17,207.99,211.09,205.20,158481.00
22/05/17,208.42,210.31,203.02,225557.00
23/05/17,204.13,209.98,200.44,451460.00
24/05/17,201.75,205.62,200.00,168125.00
25/05/17,198.48,202.99,197.05,264268.00
26/05/17,201.99,203.98,200.30,299791.00
29/05/17,206.40,209.00,203.06,602512.00
30/05/17,199.87,208.08,198.27,347107.00
31/05/17,205.57,206.75,199.37,253204.00
01/06/17,208.26,211.49,203.79,206726.00
02/06/17,207.02,210.30,205.59,121869.00
05/06/17,209.27,211.00,205.69,141001.00
06/06/17,205.88,215.81,204.61,211426.00
07/06/17,208.57,209.97,203.16,144514.00
08/06/17,207.04,211.02,206.65,122485.00
09/06/17,208.44,210.40,206.14,523357.00
12/06/17,208.45,210.00,207.15,234418.00
13/06/17,218.81,220.00,208.19,351593.00
14/06/17,218.81,222.20,217.26,507268.00
15/06/17,222.85,226.00,218.70,351285.00
16/06/17,218.27,225.00,217.78,162392.00
19/06/17,217.75,221.40,216.10,279671.00
20/06/17,226.32,227.60,216.03,402625.00
21/06/17,223.36,227.77,221.54,164484.00
22/06/17,216.79,226.67,216.03,377354.00
23/06/17,212.59,217.80,210.04,280727.00
27/06/17,215.87,217.38,211.96,329066.00
28/06/17,216.68,218.73,213.40,89371.00
29/06/17,219.24,220.21,216.27,120800.00
30/06/17,224.84,225.61,217.20,233752.00
03/07/17,221.52,226.54,220.00,145168.00
04/07/17,218.44,224.80,217.62,128164.00
05/07/17,223.42,224.19,216.60,237275.00
06/07/17,226.77,230.58,222.25,359166.00
07/07/17,227.70,228.37,223.00,241249.00
10/07/17,226.11,230.00,224.20,34152.00
11/07/17,225.51,227.50,221.59,296075.00
12/07/17,222.23,226.08,221.40,137985.00
13/07/17,233.32,234.30,220.60,510660.00
14/07/17,230.82,234.98,227.77,302440.00
17/07/17,229.01,232.99,228.00,199299.00
18/07/17,224.37,230.00,223.00,157858.00
19/07/17,229.76,230.46,224.62,317269.00
20/07/17,228.82,230.94,226.47,110936.00
21/07/17,227.08,230.71,225.20,129250.00
24/07/17,225.90,229.15,224.41,95262.00
25/07/17,231.49,233.10,224.65,228616.00
26/07/17,229.32,233.78,227.04,100390.00
27/07/17,235.68,242.98,230.41,826650.00
28/07/17,235.97,242.04,234.52,1094870.00
31/07/17,239.64,240.60,237.57,631015.00
01/08/17,235.06,241.98,233.82,318081.00
02/08/17,234.86,237.80,232.65,109870.00
03/08/17,232.31,236.92,231.67,105929.00
04/08/17,236.08,237.00,232.00,171395.00
07/08/17,241.24,243.74,235.61,386967.00
08/08/17,240.47,243.91,236.37,206467.00
09/08/17,234.20,241.74,231.20,215847.00
10/08/17,231.80,235.92,230.57,214029.00
11/08/17,228.69,232.10,221.73,209600.00
14/08/17,230.18,235.63,229.00,59009.00
16/08/17,232.05,233.53,229.36,108506.00
17/08/17,231.08,236.58,228.22,105634.00
18/08/17,231.48,233.36,227.21,68496.00
21/08/17,230.11,234.00,229.62,162833.00
22/08/17,228.39,233.43,227.80,64610.00
23/08/17,229.42,230.48,225.40,76656.00
24/08/17,229.18,231.20,228.05,100036.00
28/08/17,231.91,232.75,228.00,114748.00
29/08/17,229.45,232.79,228.95,92146.00
30/08/17,236.45,237.77,230.01,170505.00
31/08/17,232.57,238.80,230.46,300818.00
01/09/17,230.01,233.01,229.24,324302.00
04/09/17,227.03,231.80,224.81,103413.00
05/09/17,228.73,231.58,226.40,153261.00
06/09/17,233.91,235.00,225.96,259078.00
07/09/17,232.67,235.80,230.40,179902.00
08/09/17,232.16,234.19,230.05,68150.00
11/09/17,234.83,235.40,231.79,131239.00
12/09/17,237.76,240.00,233.00,325069.00
13/09/17,234.19,240.09,233.00,244057.00
14/09/17,235.43,237.98,234.05,89130.00
15/09/17,232.75,236.64,230.00,125581.00
18/09/17,233.86,236.00,231.60,230637.00
19/09/17,233.05,237.00,232.00,93680.00
20/09/17,234.39,235.94,231.28,134142.00
21/09/17,233.78,235.20,230.50,360643.00
22/09/17,227.63,233.19,226.00,78686.00
25/09/17,219.35,228.94,215.00,176785.00
26/09/17,214.94,219.17,210.58,341329.00
27/09/17,212.85,222.09,211.27,221082.00
28/09/17,216.84,222.00,210.39,492528.00
29/09/17,218.45,222.60,217.01,363864.00
03/10/17,221.63,225.95,218.01,192837.00
04/10/17,219.90,224.47,219.02,124202.00
05/10/17,218.53,222.52,216.73,142178.00
06/10/17,223.62,226.52,218.80,269218.00
09/10/17,224.05,225.00,220.70,49619.00
10/10/17,224.18,226.48,222.07,335492.00
