Date,Close,High,Low,Volume
26/05/16,133.30,135.05,131.60,1405951.00
27/05/16,132.45,136.95,132.10,237478.00
30/05/16,130.00,134.00,127.00,1885482.00
31/05/16,132.30,135.20,126.50,2344185.00
01/06/16,134.60,135.00,132.00,688492.00
02/06/16,138.60,140.00,133.05,3197895.00
03/06/16,135.00,138.90,134.00,434481.00
06/06/16,133.05,135.15,130.10,619297.00
07/06/16,133.55,135.50,131.35,869424.00
08/06/16,132.85,133.50,130.20,1740052.00
09/06/16,133.55,134.00,131.75,322333.00
10/06/16,133.50,139.35,131.60,1003831.00
13/06/16,133.25,134.00,131.50,1687277.00
14/06/16,136.55,137.50,132.95,1142547.00
15/06/16,135.05,137.00,133.30,278110.00
16/06/16,133.05,135.75,132.75,677301.00
17/06/16,134.00,136.00,133.05,1235817.00
20/06/16,133.60,135.50,132.95,969444.00
21/06/16,137.75,144.00,135.00,714207.00
22/06/16,138.55,143.90,137.00,519549.00
23/06/16,138.15,138.60,137.05,920115.00
24/06/16,136.70,141.05,130.00,1693185.00
27/06/16,135.20,137.90,133.35,1927203.00
28/06/16,134.35,139.00,133.50,829459.00
29/06/16,138.85,139.75,134.15,4406576.00
30/06/16,143.75,145.90,137.50,1650763.00
01/07/16,142.85,144.25,141.00,220114.00
04/07/16,142.65,147.70,141.00,491518.00
05/07/16,140.00,143.15,139.05,2512301.00
07/07/16,139.55,143.45,138.35,3142207.00
08/07/16,142.30,143.00,138.85,459970.00
11/07/16,142.10,143.25,140.60,706372.00
12/07/16,141.10,142.95,139.90,556895.00
13/07/16,142.90,143.50,140.80,951344.00
14/07/16,141.55,145.90,140.05,946494.00
15/07/16,143.80,145.00,142.35,445949.00
18/07/16,140.30,145.00,139.60,426696.00
19/07/16,141.10,143.55,140.80,473807.00
20/07/16,152.50,155.10,141.80,3472955.00
21/07/16,150.25,153.90,147.45,221588.00
22/07/16,148.60,152.30,145.75,377959.00
25/07/16,153.60,154.00,148.60,260824.00
26/07/16,154.05,155.20,152.55,515814.00
27/07/16,150.05,157.45,148.00,443652.00
28/07/16,153.40,157.90,150.25,355759.00
29/07/16,157.00,159.00,151.00,392183.00
01/08/16,165.80,179.90,162.20,4518575.00
02/08/16,162.00,168.10,161.60,484129.00
03/08/16,161.35,164.95,159.90,2414384.00
04/08/16,161.95,166.00,160.35,648431.00
05/08/16,164.80,166.00,162.30,3697540.00
08/08/16,171.75,172.50,163.55,2981931.00
09/08/16,172.00,175.50,171.00,1173915.00
10/08/16,168.45,175.00,166.25,819514.00
11/08/16,170.00,172.75,165.00,1444653.00
12/08/16,173.05,173.70,167.35,517552.00
16/08/16,169.25,173.10,168.05,166371.00
17/08/16,164.65,170.95,163.60,274060.00
18/08/16,166.50,167.20,164.05,235518.00
19/08/16,166.85,168.65,161.00,409967.00
22/08/16,165.85,167.80,164.15,382292.00
23/08/16,165.50,166.25,164.05,96815.00
24/08/16,165.25,166.95,164.25,285268.00
25/08/16,164.95,167.20,164.05,2888065.00
26/08/16,164.55,165.70,163.65,167366.00
29/08/16,165.00,166.85,162.10,253648.00
30/08/16,165.00,166.60,164.25,203548.00
31/08/16,164.75,166.75,164.20,488807.00
01/09/16,167.00,171.95,165.50,585568.00
02/09/16,173.75,175.05,166.80,878234.00
06/09/16,173.05,175.45,172.05,1710780.00
07/09/16,167.60,173.90,165.40,1508869.00
08/09/16,164.05,169.70,163.00,960679.00
09/09/16,164.60,173.95,163.60,1303662.00
12/09/16,161.75,166.50,160.25,408520.00
14/09/16,158.95,162.85,157.40,662901.00
15/09/16,160.45,162.00,158.65,881881.00
16/09/16,155.80,165.50,154.35,1688565.00
19/09/16,155.70,160.50,155.20,772348.00
20/09/16,156.35,157.55,155.90,279402.00
21/09/16,159.75,161.85,156.00,1367207.00
22/09/16,158.55,163.40,158.00,578828.00
23/09/16,156.70,160.65,156.15,879651.00
26/09/16,158.20,160.00,156.80,451451.00
27/09/16,156.10,159.65,154.30,332876.00
28/09/16,153.30,157.20,152.25,596510.00
29/09/16,152.05,157.40,135.25,2278210.00
30/09/16,153.95,154.80,150.50,392186.00
03/10/16,157.70,159.00,153.65,3321781.00
04/10/16,163.90,167.65,158.10,665639.00
05/10/16,170.35,175.00,164.10,2064435.00
06/10/16,172.60,175.75,170.45,1167418.00
07/10/16,171.60,173.60,170.00,534553.00
10/10/16,173.25,174.90,170.75,575965.00
13/10/16,179.95,180.90,171.20,3443468.00
14/10/16,177.70,182.85,176.60,911543.00
17/10/16,181.80,182.35,177.95,849313.00
18/10/16,180.10,185.60,178.15,1475336.00
19/10/16,178.50,181.00,177.00,1523864.00
20/10/16,183.95,185.00,179.00,923132.00
21/10/16,183.80,186.80,182.05,774859.00
24/10/16,186.60,189.20,178.50,646387.00
25/10/16,188.75,191.35,185.10,1524453.00
26/10/16,183.95,188.45,181.25,1305804.00
27/10/16,183.90,186.90,175.50,2917093.00
28/10/16,183.70,184.60,178.05,949227.00
01/11/16,180.80,185.80,177.00,1746229.00
02/11/16,173.70,179.95,172.60,160689.00
03/11/16,175.00,176.50,171.00,141830.00
04/11/16,176.05,177.75,168.25,631289.00
07/11/16,174.15,177.55,172.25,135721.00
08/11/16,168.65,175.90,165.25,602519.00
09/11/16,165.55,168.00,135.25,2086349.00
10/11/16,162.60,170.85,161.60,260780.00
11/11/16,159.80,160.55,155.00,569142.00
15/11/16,145.85,159.00,136.50,3277520.00
16/11/16,152.50,154.45,144.75,1261825.00
17/11/16,151.90,156.95,149.35,623817.00
18/11/16,148.00,151.80,143.80,1500814.00
21/11/16,153.40,159.70,140.00,880546.00
22/11/16,151.10,157.40,145.45,330466.00
23/11/16,146.90,151.10,145.65,250419.00
24/11/16,145.55,146.90,144.00,172453.00
25/11/16,145.15,148.95,142.00,254216.00
28/11/16,146.85,149.35,144.50,130793.00
29/11/16,146.15,151.85,143.55,2640185.00
30/11/16,148.20,149.75,145.70,265256.00
01/12/16,147.60,152.70,146.50,332871.00
02/12/16,148.65,150.45,147.50,264613.00
05/12/16,144.95,149.45,143.35,953597.00
06/12/16,145.85,146.45,144.25,205444.00
07/12/16,148.30,152.00,141.75,1670700.00
08/12/16,154.75,159.00,145.65,1021812.00
09/12/16,148.90,157.05,148.05,409909.00
12/12/16,141.40,148.60,141.00,1533411.00
13/12/16,142.25,143.50,141.70,236079.00
14/12/16,142.70,144.85,141.50,1533147.00
15/12/16,141.50,143.00,140.00,162290.00
16/12/16,143.90,144.85,141.00,3011073.00
19/12/16,141.75,144.85,139.00,430402.00
20/12/16,144.25,144.70,141.05,118570.00
21/12/16,145.60,146.90,143.80,438708.00
22/12/16,141.50,146.00,140.35,107779.00
23/12/16,145.05,145.90,140.40,890030.00
26/12/16,140.40,144.25,138.00,317599.00
27/12/16,143.10,144.90,140.05,5546361.00
28/12/16,143.45,147.80,142.30,163695.00
29/12/16,146.05,147.20,143.05,105154.00
30/12/16,145.90,147.90,144.20,333101.00
02/01/17,149.15,149.60,145.45,109947.00
03/01/17,155.90,156.50,148.50,402467.00
04/01/17,152.20,156.95,151.50,91089.00
05/01/17,148.20,153.05,147.10,881217.00
06/01/17,148.85,152.90,148.55,1060054.00
09/01/17,150.00,150.90,148.20,177820.00
10/01/17,150.80,152.00,148.75,479854.00
11/01/17,155.95,159.50,150.25,436785.00
12/01/17,154.70,157.80,153.50,384087.00
13/01/17,157.30,157.55,155.25,249597.00
16/01/17,160.30,166.05,157.55,512735.00
17/01/17,161.65,162.60,158.90,176140.00
18/01/17,165.30,165.90,161.65,1286956.00
19/01/17,165.75,169.70,164.60,344446.00
20/01/17,166.35,168.75,164.10,783481.00
23/01/17,167.25,168.80,164.55,215270.00
24/01/17,171.30,176.50,165.00,3360006.00
25/01/17,183.90,188.00,177.05,2524666.00
27/01/17,187.70,191.95,184.00,3340079.00
30/01/17,186.85,190.25,184.00,1356642.00
31/01/17,191.35,193.15,186.45,2395209.00
01/02/17,192.55,195.90,188.00,3386188.00
02/02/17,193.10,194.35,190.65,2658558.00
03/02/17,191.75,192.90,188.15,222964.00
06/02/17,188.40,193.20,184.30,714481.00
07/02/17,194.15,195.00,187.95,526504.00
08/02/17,193.00,194.75,189.30,537534.00
09/02/17,197.85,201.10,192.05,1031037.00
10/02/17,196.10,201.00,195.05,941035.00
13/02/17,187.40,198.45,185.70,494630.00
14/02/17,185.20,190.70,182.60,632251.00
15/02/17,189.80,191.75,184.50,285634.00
16/02/17,189.95,191.40,187.90,999690.00
17/02/17,189.45,192.00,187.20,209405.00
20/02/17,188.15,189.80,184.95,46569.00
21/02/17,189.75,191.50,186.70,89602.00
22/02/17,189.00,192.00,187.90,117921.00
23/02/17,200.20,206.60,188.25,2269020.00
27/02/17,192.80,203.40,190.25,775903.00
28/02/17,189.90,193.90,186.65,831951.00
01/03/17,188.40,192.15,187.40,254559.00
02/03/17,189.10,193.70,187.60,615441.00
03/03/17,187.90,191.90,186.90,506718.00
06/03/17,186.05,188.50,183.45,1753584.00
07/03/17,186.95,188.50,185.05,1172576.00
08/03/17,187.15,190.80,185.00,686218.00
09/03/17,189.95,191.45,186.75,985964.00
10/03/17,189.25,194.25,188.00,1744975.00
14/03/17,191.05,195.00,188.65,3252561.00
15/03/17,188.85,193.00,187.75,505041.00
16/03/17,197.65,200.00,189.10,1365975.00
17/03/17,195.10,199.35,190.25,7357751.00
20/03/17,195.40,198.00,190.85,425758.00
21/03/17,196.00,199.50,193.05,2712357.00
22/03/17,195.80,196.55,193.25,216777.00
23/03/17,194.30,206.55,190.05,3561176.00
24/03/17,198.40,199.10,195.00,488363.00
27/03/17,201.05,203.45,198.65,1035694.00
28/03/17,197.80,202.60,196.25,837381.00
29/03/17,206.20,219.40,196.70,1533424.00
30/03/17,211.60,213.50,206.60,1343687.00
31/03/17,216.95,224.45,209.40,1469618.00
03/04/17,224.90,238.90,215.80,3342328.00
05/04/17,220.05,227.00,218.00,721640.00
06/04/17,218.10,224.00,212.85,630932.00
07/04/17,215.00,221.90,214.50,1522283.00
10/04/17,211.05,216.45,210.10,265727.00
11/04/17,217.85,221.50,210.05,762286.00
12/04/17,215.00,218.70,211.30,515731.00
13/04/17,214.80,217.05,211.75,400728.00
17/04/17,211.45,216.00,211.05,922528.00
18/04/17,210.55,215.10,209.50,238188.00
19/04/17,211.40,213.35,209.85,133298.00
20/04/17,216.30,218.00,210.60,1751271.00
21/04/17,218.40,223.90,216.25,4735641.00
24/04/17,216.10,219.85,212.00,1393247.00
25/04/17,221.00,223.20,218.25,997673.00
26/04/17,220.45,225.00,217.65,274864.00
27/04/17,224.65,225.90,219.00,891965.00
28/04/17,219.95,224.45,218.05,222168.00
02/05/17,221.55,224.30,214.30,597529.00
03/05/17,215.80,222.70,214.00,747182.00
04/05/17,223.40,225.00,216.25,686210.00
05/05/17,228.60,230.90,222.05,1035364.00
08/05/17,235.65,239.45,228.00,1008707.00
09/05/17,240.65,242.00,237.75,1499298.00
10/05/17,237.40,241.80,235.05,343426.00
11/05/17,240.35,242.00,233.65,550867.00
12/05/17,236.00,243.80,235.00,2073710.00
15/05/17,240.45,242.80,235.45,241529.00
16/05/17,244.15,245.80,236.55,2081392.00
17/05/17,242.85,246.00,238.00,522449.00
18/05/17,230.60,241.95,229.50,503931.00
19/05/17,222.95,234.20,216.30,886337.00
22/05/17,224.90,229.00,220.05,296996.00
23/05/17,217.30,225.00,213.45,1561149.00
24/05/17,218.20,233.65,216.50,1071017.00
25/05/17,218.30,226.85,217.00,892115.00
26/05/17,224.80,226.50,219.20,1000837.00
29/05/17,223.25,229.50,221.00,1044783.00
30/05/17,219.75,226.75,218.20,1544118.00
31/05/17,223.00,227.80,220.70,1703480.00
01/06/17,232.30,234.50,222.10,717963.00
02/06/17,242.45,245.90,233.10,2955336.00
05/06/17,235.45,244.85,234.55,887179.00
06/06/17,236.40,242.60,233.05,552663.00
07/06/17,235.35,238.45,234.50,834464.00
08/06/17,237.85,239.85,235.05,738987.00
09/06/17,235.05,238.10,229.65,608178.00
12/06/17,224.20,234.10,222.85,266242.00
13/06/17,223.70,226.40,220.35,559246.00
14/06/17,221.55,225.95,220.40,151657.00
15/06/17,219.50,223.50,219.00,221499.00
16/06/17,219.45,226.15,219.05,666489.00
19/06/17,220.15,225.95,219.75,321769.00
20/06/17,219.85,224.80,219.10,575584.00
21/06/17,219.95,221.00,219.00,352519.00
22/06/17,219.95,222.20,219.55,999069.00
23/06/17,219.30,223.65,214.55,2133246.00
27/06/17,220.35,222.50,213.50,278052.00
28/06/17,220.00,222.20,216.50,950954.00
29/06/17,218.85,222.45,218.10,182785.00
30/06/17,226.45,229.25,216.95,1453008.00
03/07/17,227.65,232.50,225.70,201358.00
04/07/17,224.70,229.60,223.70,104786.00
05/07/17,227.50,229.85,221.10,206280.00
06/07/17,226.20,231.45,223.95,445298.00
07/07/17,226.70,229.00,224.30,592317.00
10/07/17,224.85,225.80,223.10,35950.00
11/07/17,220.40,227.10,218.35,274382.00
12/07/17,221.85,223.90,219.25,132909.00
13/07/17,221.10,225.15,219.85,440955.00
14/07/17,216.10,222.80,215.20,481679.00
17/07/17,214.95,219.40,213.45,828628.00
18/07/17,208.15,214.95,201.65,1253090.00
19/07/17,204.45,213.00,201.70,1007087.00
20/07/17,205.85,207.95,203.15,3096875.00
21/07/17,204.60,210.00,200.05,1848875.00
24/07/17,206.15,209.40,204.20,1780918.00
25/07/17,204.25,207.40,203.55,170642.00
26/07/17,205.20,208.00,203.15,832795.00
27/07/17,209.20,211.40,203.20,1633451.00
28/07/17,208.90,211.00,204.85,1729184.00
31/07/17,218.70,219.00,209.40,1540046.00
01/08/17,215.85,220.50,211.05,590777.00
02/08/17,215.25,219.75,212.15,213696.00
03/08/17,214.55,215.80,213.05,1191101.00
04/08/17,215.70,217.60,211.10,887327.00
07/08/17,216.45,217.85,214.50,590797.00
08/08/17,215.75,219.00,213.65,232100.00
09/08/17,216.00,218.85,214.95,883280.00
10/08/17,216.50,218.00,213.00,964439.00
11/08/17,224.10,226.90,211.10,568932.00
14/08/17,225.15,228.80,220.10,932006.00
16/08/17,225.05,232.00,222.55,372092.00
17/08/17,222.70,229.75,222.00,276508.00
18/08/17,225.20,228.00,223.30,271323.00
21/08/17,225.75,229.60,222.40,262005.00
22/08/17,217.35,228.50,215.50,350544.00
23/08/17,214.50,218.35,212.65,979347.00
24/08/17,214.00,217.50,211.95,489691.00
28/08/17,219.20,220.75,212.20,499673.00
29/08/17,216.20,222.75,214.50,250918.00
30/08/17,219.75,220.20,215.80,181409.00
31/08/17,219.15,220.80,217.05,138098.00
01/09/17,217.95,224.75,217.00,558933.00
04/09/17,217.75,219.95,215.00,250469.00
05/09/17,217.10,219.05,215.00,159061.00
06/09/17,216.45,218.20,215.25,120807.00
07/09/17,216.50,220.40,215.65,238719.00
08/09/17,215.55,219.05,214.55,190860.00
11/09/17,215.00,217.80,210.50,1423550.00
12/09/17,217.40,218.95,215.00,1006548.00
13/09/17,220.80,225.90,216.30,599030.00
14/09/17,218.65,223.75,217.45,229984.00
15/09/17,217.40,223.95,213.00,1024751.00
18/09/17,219.35,226.95,218.00,666821.00
19/09/17,218.95,220.95,218.00,143326.00
20/09/17,222.55,225.70,218.00,540532.00
21/09/17,218.00,222.80,215.10,623009.00
22/09/17,210.95,218.00,210.00,399986.00
25/09/17,207.05,210.95,204.50,458441.00
26/09/17,210.95,214.75,206.30,364930.00
27/09/17,207.55,212.35,205.25,2046583.00
28/09/17,207.90,209.85,205.00,339164.00
29/09/17,208.85,211.35,207.40,462781.00
03/10/17,217.80,219.60,210.90,944055.00
04/10/17,214.30,218.50,213.70,463428.00
05/10/17,215.55,217.30,213.10,247145.00
06/10/17,222.95,224.70,218.15,363500.00
09/10/17,217.15,225.00,216.55,183486.00
10/10/17,212.70,219.70,211.25,888099.00
11/10/17,213.55,216.00,210.30,1055277.00
12/10/17,211.35,213.40,208.70,1220506.00
13/10/17,210.20,212.10,208.60,501155.00
16/10/17,214.00,218.00,210.60,602724.00
17/10/17,211.60,218.00,211.10,293251.00
18/10/17,212.30,214.65,210.00,292401.00
19/10/17,216.35,217.25,212.40,82984.00
23/10/17,222.15,226.55,216.00,1351258.00
24/10/17,220.00,224.40,217.00,452001.00
25/10/17,221.15,222.50,212.25,1056255.00
26/10/17,216.40,222.00,214.40,800004.00
27/10/17,219.25,229.90,215.60,2964338.00
30/10/17,224.45,225.05,215.80,2692274.00
31/10/17,221.15,228.70,220.10,2028914.00
01/11/17,216.50,223.25,215.25,7906644.00
02/11/17,218.95,222.00,217.50,757850.00
03/11/17,217.95,220.55,217.00,857416.00
06/11/17,223.55,224.70,217.95,1044554.00
07/11/17,229.10,233.45,221.00,2082180.00
08/11/17,230.20,233.00,223.80,703504.00
09/11/17,240.00,241.75,231.50,1928218.00
10/11/17,251.45,253.70,240.00,2713202.00
13/11/17,244.00,259.10,240.50,1297977.00
14/11/17,248.25,251.95,238.40,910535.00
15/11/17,240.50,247.60,239.10,860122.00
16/11/17,243.35,250.00,240.00,880481.00
17/11/17,244.05,252.90,240.00,698769.00
20/11/17,245.60,249.75,244.00,872544.00
21/11/17,244.15,248.10,243.00,249106.00
22/11/17,243.15,246.35,240.50,1292909.00
23/11/17,248.10,250.00,241.75,886786.00
24/11/17,263.90,291.90,250.10,4802827.00
27/11/17,261.85,276.00,256.15,1265265.00
28/11/17,254.40,263.65,252.20,543187.00
29/11/17,263.70,275.65,252.05,1819135.00
30/11/17,265.80,272.00,262.00,783042.00
01/12/17,268.05,271.95,263.55,462846.00
04/12/17,271.00,275.00,258.00,322428.00
05/12/17,274.75,280.55,266.30,1412241.00
06/12/17,274.30,279.55,269.80,1114577.00
07/12/17,269.70,276.35,267.15,525161.00
08/12/17,269.40,273.80,262.70,528865.00
11/12/17,261.15,271.50,260.00,508664.00
12/12/17,261.50,265.90,255.60,487292.00
13/12/17,256.70,264.95,255.20,288271.00
14/12/17,259.85,265.60,255.35,571589.00
15/12/17,259.40,263.85,258.05,191483.00
18/12/17,262.00,266.70,254.20,317980.00
19/12/17,260.70,269.00,259.10,476794.00
20/12/17,272.50,276.80,260.80,2359112.00
21/12/17,272.05,277.85,270.20,187873.00
22/12/17,268.40,274.10,265.00,456847.00
26/12/17,268.55,271.60,266.75,191205.00
27/12/17,270.70,272.10,268.10,165339.00
28/12/17,268.15,274.20,266.25,308344.00
29/12/17,275.50,277.70,268.20,370120.00
01/01/18,270.60,280.00,269.00,139572.00
02/01/18,277.80,281.55,270.15,339765.00
03/01/18,280.15,283.75,272.15,388424.00
04/01/18,282.95,295.00,277.05,821871.00
05/01/18,279.00,289.15,277.10,253992.00
08/01/18,273.95,281.00,273.05,251347.00
09/01/18,276.10,280.45,274.35,3363282.00
10/01/18,270.50,277.80,268.30,204270.00
11/01/18,272.65,275.00,270.85,378755.00
12/01/18,272.25,275.35,269.90,342452.00
15/01/18,265.75,278.75,263.00,339767.00
16/01/18,274.75,281.00,266.00,558902.00
17/01/18,269.40,276.80,268.15,247148.00
18/01/18,265.25,274.65,261.15,312708.00
19/01/18,262.55,269.00,261.00,238803.00
22/01/18,260.80,265.15,255.45,302909.00
23/01/18,264.30,273.75,261.15,1369692.00
24/01/18,250.75,269.00,248.75,1470948.00
25/01/18,237.60,253.95,234.10,3630836.00
29/01/18,241.80,246.45,235.40,1272726.00
30/01/18,242.15,245.75,235.00,1185186.00
31/01/18,249.15,252.00,232.30,1363969.00
01/02/18,253.40,264.95,248.50,1140961.00
02/02/18,245.65,251.80,236.05,1091761.00
05/02/18,254.35,259.70,233.30,807919.00
06/02/18,242.15,252.45,233.00,533435.00
07/02/18,242.90,249.70,242.00,1222693.00
08/02/18,243.00,245.90,241.10,771291.00
09/02/18,244.50,247.30,238.65,301888.00
12/02/18,238.05,246.40,235.55,855949.00
14/02/18,235.25,242.90,234.90,1690543.00
15/02/18,231.60,238.70,229.35,2450654.00
16/02/18,227.75,234.40,225.55,743035.00
19/02/18,231.20,235.80,220.30,2151863.00
20/02/18,233.55,237.00,231.30,2483342.00
21/02/18,235.00,237.80,231.90,2562862.00
22/02/18,230.70,236.30,228.50,429882.00
23/02/18,232.90,234.25,230.90,1005854.00
26/02/18,232.70,239.75,230.90,1686721.00
27/02/18,232.70,233.50,229.20,512175.00
28/02/18,232.50,234.70,229.80,471586.00
01/03/18,232.65,235.85,231.10,319307.00
05/03/18,234.70,237.00,232.70,1600374.00
06/03/18,235.40,237.90,233.50,426515.00
07/03/18,236.15,237.65,232.00,401846.00
08/03/18,239.75,243.55,233.00,423617.00
09/03/18,240.90,243.00,237.65,488410.00
12/03/18,234.45,242.00,231.00,2460898.00
13/03/18,227.10,235.15,225.50,604696.00
14/03/18,225.70,228.30,224.50,512508.00
15/03/18,222.35,227.65,221.00,645368.00
16/03/18,227.70,230.90,222.70,848120.00
19/03/18,219.75,229.20,217.30,1706202.00
20/03/18,223.95,227.20,218.50,457360.00
21/03/18,232.45,234.00,222.20,616317.00
22/03/18,239.20,242.50,227.75,642096.00
23/03/18,242.50,244.70,226.40,1174949.00
26/03/18,234.45,240.90,230.00,1559195.00
27/03/18,232.30,237.85,226.35,1235400.00
28/03/18,236.75,244.00,225.10,1437752.00
02/04/18,232.60,237.50,230.65,178686.00
03/04/18,231.80,235.00,228.10,371164.00
04/04/18,229.30,234.60,228.00,243229.00
05/04/18,234.05,235.00,228.15,476687.00
06/04/18,230.85,233.95,229.30,513408.00
09/04/18,240.00,242.00,231.50,3270822.00
10/04/18,237.60,242.80,234.50,725806.00
11/04/18,235.60,239.90,233.60,357851.00
12/04/18,236.15,237.45,233.55,769724.00
13/04/18,232.55,238.50,231.15,998288.00
16/04/18,225.20,230.80,222.00,1638984.00
17/04/18,224.00,228.10,223.20,540938.00
18/04/18,226.20,227.65,224.25,948507.00
19/04/18,228.25,229.50,224.65,302155.00
20/04/18,229.65,231.50,225.85,3365129.00
23/04/18,230.75,232.95,226.85,671342.00
24/04/18,231.90,233.50,228.15,805767.00
25/04/18,227.85,232.90,226.10,275441.00
26/04/18,229.45,230.25,226.00,307134.00
27/04/18,232.95,234.80,226.45,336735.00
30/04/18,236.00,236.80,232.05,322071.00
02/05/18,234.50,239.35,230.10,739201.00
03/05/18,235.55,237.45,229.80,413751.00
04/05/18,245.10,247.20,234.20,1539128.00
07/05/18,248.90,252.60,240.45,1428391.00
08/05/18,250.00,251.90,244.25,610107.00
09/05/18,245.90,249.95,243.15,516383.00
10/05/18,237.00,245.70,235.45,401438.00
11/05/18,234.35,239.75,233.00,322971.00
14/05/18,235.20,243.50,226.50,1840543.00
15/05/18,229.65,243.00,226.60,455043.00
16/05/18,230.45,234.95,219.30,4266858.00
17/05/18,247.35,251.00,231.90,1951627.00
18/05/18,245.65,251.90,237.70,1204493.00
21/05/18,241.20,244.95,234.00,582779.00
22/05/18,243.90,245.00,234.65,375757.00
23/05/18,240.25,247.00,238.10,331320.00
24/05/18,236.35,242.25,235.65,585072.00
25/05/18,231.00,238.25,230.10,445309.00
28/05/18,227.00,232.30,223.00,1866322.00
29/05/18,226.40,228.65,225.00,927321.00
30/05/18,222.05,229.70,220.15,681488.00
31/05/18,226.75,228.50,222.20,1148961.00
01/06/18,222.70,228.25,221.85,2342797.00
04/06/18,223.85,225.50,220.05,199152.00
05/06/18,226.05,227.90,223.00,345447.00
06/06/18,225.00,227.00,222.25,215174.00
07/06/18,225.15,229.15,224.15,224136.00
08/06/18,226.15,227.60,223.30,158492.00
11/06/18,234.15,235.80,226.05,385749.00
12/06/18,234.75,236.90,231.00,151267.00
13/06/18,231.55,235.50,230.20,175065.00
14/06/18,227.25,233.80,225.65,222607.00
15/06/18,222.85,228.00,221.55,501308.00
18/06/18,217.70,223.90,216.50,526524.00
19/06/18,217.90,220.05,211.10,1239970.00
20/06/18,217.95,221.30,214.00,580552.00
21/06/18,222.65,224.90,217.15,232171.00
22/06/18,225.20,226.50,220.10,1062671.00
25/06/18,228.85,230.00,222.00,231685.00
26/06/18,223.20,228.85,222.20,733741.00
27/06/18,219.30,223.60,213.30,560529.00
28/06/18,220.05,224.60,216.25,205777.00
29/06/18,226.20,228.90,219.10,400902.00
02/07/18,224.90,226.15,222.40,227915.00
03/07/18,226.15,229.85,223.55,664922.00
04/07/18,226.60,227.80,224.10,455082.00
05/07/18,229.35,229.80,222.70,464536.00
06/07/18,228.25,229.00,224.55,450158.00
09/07/18,227.20,229.85,225.00,539222.00
10/07/18,229.30,231.30,224.10,648684.00
11/07/18,235.05,239.00,231.00,1092920.00
