Date,Close,High,Low,Volume
26/05/16,1235.65,1249.30,1226.00,230568.00
27/05/16,1260.55,1270.00,1229.40,144879.00
30/05/16,1302.65,1307.80,1265.65,273086.00
31/05/16,1297.10,1311.00,1286.00,293150.00
01/06/16,1287.85,1309.50,1267.15,140531.00
02/06/16,1285.90,1290.90,1261.55,126260.00
03/06/16,1254.85,1295.00,1250.00,82745.00
06/06/16,1263.85,1275.90,1239.70,62875.00
07/06/16,1264.75,1274.70,1251.75,118134.00
08/06/16,1257.00,1266.80,1250.70,41716.00
09/06/16,1268.80,1274.80,1237.85,189963.00
10/06/16,1250.25,1281.45,1243.30,174658.00
13/06/16,1299.40,1308.00,1232.15,334202.00
14/06/16,1262.30,1310.95,1256.15,252663.00
15/06/16,1284.35,1287.00,1265.70,225179.00
16/06/16,1263.35,1285.80,1256.00,76517.00
17/06/16,1256.05,1282.90,1253.40,81991.00
20/06/16,1268.70,1275.00,1243.55,129469.00
21/06/16,1261.90,1280.00,1256.55,70032.00
22/06/16,1253.70,1269.80,1250.45,68501.00
23/06/16,1251.00,1258.95,1248.00,66627.00
24/06/16,1252.95,1260.00,1196.65,119862.00
27/06/16,1266.60,1274.00,1251.00,64769.00
28/06/16,1280.65,1285.40,1265.00,77012.00
29/06/16,1294.55,1299.00,1280.00,75768.00
30/06/16,1312.85,1324.70,1290.70,411199.00
01/07/16,1314.35,1327.45,1310.00,52567.00
04/07/16,1319.80,1334.25,1311.10,78191.00
05/07/16,1310.45,1333.95,1305.05,59876.00
07/07/16,1325.10,1343.90,1307.25,223056.00
08/07/16,1309.75,1338.70,1296.05,87863.00
11/07/16,1316.50,1335.00,1312.20,50318.00
12/07/16,1353.40,1361.40,1320.00,182860.00
13/07/16,1339.25,1362.95,1335.00,70750.00
14/07/16,1374.10,1437.00,1360.00,1061621.00
15/07/16,1337.35,1380.00,1329.00,165153.00
18/07/16,1339.75,1369.00,1322.55,142318.00
19/07/16,1333.45,1353.10,1324.35,96930.00
