Date,Close,High,Low,Volume
26/05/16,338.35,340.90,333.10,3199161.00
27/05/16,336.80,342.00,334.30,1918069.00
30/05/16,339.55,342.90,334.40,1030970.00
31/05/16,335.90,340.80,335.00,700811.00
01/06/16,333.35,342.25,329.70,1213913.00
02/06/16,339.30,340.90,332.00,970908.00
03/06/16,334.10,345.90,332.50,1592233.00
06/06/16,333.35,336.20,330.90,424664.00
07/06/16,336.70,340.00,331.90,714034.00
08/06/16,336.65,339.20,334.25,591729.00
09/06/16,334.85,341.00,333.45,765829.00
10/06/16,327.05,332.95,325.50,1219382.00
13/06/16,322.65,324.00,318.50,1151014.00
14/06/16,330.05,331.60,321.50,805228.00
15/06/16,330.35,332.00,326.60,905002.00
16/06/16,323.45,331.00,321.25,854803.00
17/06/16,319.80,326.95,316.65,1072955.00
20/06/16,321.10,322.00,315.25,1580991.00
21/06/16,323.30,325.40,321.75,951259.00
22/06/16,322.80,326.50,319.40,782654.00
23/06/16,321.50,323.90,318.65,774398.00
24/06/16,309.40,313.65,297.50,2104610.00
27/06/16,310.75,312.50,302.50,1023149.00
28/06/16,314.00,316.20,311.15,801912.00
29/06/16,319.75,322.85,316.20,1042469.00
30/06/16,322.25,323.90,319.00,1487910.00
01/07/16,317.70,324.35,316.85,904694.00
04/07/16,320.80,323.70,317.75,951754.00
05/07/16,325.20,327.60,320.40,1148350.00
07/07/16,315.55,328.30,313.80,1645583.00
08/07/16,314.45,317.45,311.70,1144337.00
11/07/16,316.40,319.70,315.20,1094093.00
12/07/16,318.30,320.50,317.20,685286.00
13/07/16,324.80,326.00,318.60,1598094.00
14/07/16,325.85,329.20,324.70,1303895.00
15/07/16,325.50,327.90,323.00,634496.00
18/07/16,324.40,329.85,322.75,827884.00
19/07/16,325.40,327.50,317.10,946520.00
20/07/16,334.55,336.45,326.00,2464770.00
21/07/16,335.40,339.80,334.05,1380113.00
22/07/16,334.75,338.50,330.40,1579757.00
25/07/16,335.95,337.70,328.70,801718.00
26/07/16,341.90,347.25,337.25,2035164.00
27/07/16,343.80,349.45,341.15,1549480.00
28/07/16,346.80,348.50,340.85,987748.00
29/07/16,349.55,354.90,344.70,910131.00
01/08/16,371.15,374.90,350.00,3665912.00
02/08/16,366.05,375.75,358.85,6290334.00
03/08/16,345.20,360.70,341.80,2751998.00
04/08/16,347.85,356.50,343.00,2223022.00
05/08/16,348.85,351.95,345.60,1923274.00
08/08/16,351.80,355.65,349.05,1354336.00
09/08/16,347.65,353.25,345.15,932563.00
10/08/16,348.05,352.60,343.70,1156783.00
11/08/16,360.25,362.45,345.15,3161164.00
12/08/16,365.75,367.60,361.20,3330018.00
16/08/16,371.90,373.35,363.60,2049020.00
17/08/16,366.35,374.25,363.55,1960202.00
18/08/16,365.75,369.65,364.45,674230.00
19/08/16,382.60,384.60,366.50,2529707.00
22/08/16,372.15,382.95,371.40,1987988.00
23/08/16,372.40,377.75,369.20,957444.00
24/08/16,388.20,389.90,370.00,2252690.00
25/08/16,379.30,390.10,378.00,2595970.00
26/08/16,391.75,393.50,380.20,2173621.00
29/08/16,391.35,395.00,386.10,1466993.00
30/08/16,394.75,396.50,391.10,1235418.00
31/08/16,390.30,401.80,389.35,1532132.00
01/09/16,387.40,393.80,385.05,1005027.00
02/09/16,390.50,391.90,387.25,1013529.00
06/09/16,391.90,394.95,389.20,1047007.00
07/09/16,391.30,396.00,389.80,802751.00
08/09/16,390.15,392.35,385.60,1303536.00
09/09/16,389.20,393.75,386.40,803476.00
12/09/16,374.50,389.00,372.60,737381.00
14/09/16,376.10,378.20,367.90,1654036.00
15/09/16,384.40,386.45,371.10,1055417.00
16/09/16,378.70,388.20,374.00,1287624.00
19/09/16,391.05,394.00,377.50,1304397.00
20/09/16,382.80,392.95,381.15,1004593.00
21/09/16,379.10,384.50,377.50,1363438.00
22/09/16,379.50,385.45,376.20,1332890.00
23/09/16,382.95,387.30,378.35,951856.00
26/09/16,378.25,383.50,375.10,1124060.00
27/09/16,381.45,384.95,378.85,808207.00
28/09/16,380.90,384.00,378.05,1095982.00
29/09/16,370.15,385.40,358.25,2285059.00
30/09/16,379.10,380.65,366.00,1423665.00
03/10/16,388.75,391.35,380.40,991323.00
04/10/16,397.15,399.95,386.40,922916.00
05/10/16,396.15,404.40,393.65,1788508.00
06/10/16,388.55,399.75,385.00,990117.00
07/10/16,388.80,391.00,381.60,673824.00
10/10/16,389.15,395.00,387.40,656590.00
13/10/16,379.80,388.50,376.25,1009060.00
14/10/16,397.60,400.80,378.25,1697163.00
17/10/16,392.75,405.50,390.85,1698535.00
18/10/16,399.50,402.00,392.35,1155659.00
19/10/16,401.90,406.40,394.70,1363962.00
20/10/16,396.35,406.00,395.10,1135724.00
21/10/16,394.85,398.90,390.20,717664.00
24/10/16,393.55,401.45,391.60,1138366.00
25/10/16,397.55,401.40,383.30,1426081.00
26/10/16,385.35,398.05,380.30,1122371.00
27/10/16,381.15,387.80,378.05,1126937.00
28/10/16,386.70,389.00,381.60,650491.00
01/11/16,385.85,388.00,381.40,731739.00
02/11/16,372.65,380.00,370.40,706340.00
03/11/16,364.85,373.25,362.30,813490.00
04/11/16,360.05,370.50,358.20,1100762.00
07/11/16,359.35,366.30,356.70,1185370.00
08/11/16,357.00,361.80,351.30,1125591.00
09/11/16,338.40,343.00,321.30,2657301.00
10/11/16,349.65,357.45,344.00,1186190.00
11/11/16,333.20,348.40,328.10,1700061.00
15/11/16,322.35,334.95,311.05,1505551.00
